Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 1","Contrecoeur",N,N,"",5,550,"Dussault","","Benoît","Conservative","Conservateur",N,N,51
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 1","Contrecoeur",N,N,"",5,550,"Fortin","","Raphaël","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,39
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 1","Contrecoeur",N,N,"",5,550,"Fournier","","François","Liberal","Libéral",N,N,57
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 1","Contrecoeur",N,N,"",5,550,"Malo","","Luc","Bloc Québécois","Bloc Québécois",Y,Y,190
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 1","Contrecoeur",N,N,"",5,550,"Morel","","Annie","Green Party","Parti Vert",N,N,9
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 2","Contrecoeur",N,N,"",1,297,"Dussault","","Benoît","Conservative","Conservateur",N,N,19
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 2","Contrecoeur",N,N,"",1,297,"Fortin","","Raphaël","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,20
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 2","Contrecoeur",N,N,"",1,297,"Fournier","","François","Liberal","Libéral",N,N,38
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 2","Contrecoeur",N,N,"",1,297,"Malo","","Luc","Bloc Québécois","Bloc Québécois",Y,Y,100
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 2","Contrecoeur",N,N,"",1,297,"Morel","","Annie","Green Party","Parti Vert",N,N,3
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 3","Contrecoeur",N,N,"",3,559,"Dussault","","Benoît","Conservative","Conservateur",N,N,26
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 3","Contrecoeur",N,N,"",3,559,"Fortin","","Raphaël","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,41
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 3","Contrecoeur",N,N,"",3,559,"Fournier","","François","Liberal","Libéral",N,N,37
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 3","Contrecoeur",N,N,"",3,559,"Malo","","Luc","Bloc Québécois","Bloc Québécois",Y,Y,229
24074,Verchères--Les Patriotes","Verchères--Les Patriotes"," 3","Contrecoeur",N,N,"",3,559,"Morel","","Annie","Green Party","Parti Vert",N,N,2
