Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 1","Hillview",N,N,"",0,358,"Allen","","Dianna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,41
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 1","Hillview",N,N,"",0,358,"Bridges","","Craig","Green Party","Parti Vert",N,N,15
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 1","Hillview",N,N,"",0,358,"Moulden","","Andrew","CAP","PAC",N,N,2
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 1","Hillview",N,N,"",0,358,"Rota","","Anthony","Liberal","Libéral",Y,Y,53
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 1","Hillview",N,N,"",0,358,"Sinicrope","","Joe","Conservative","Conservateur",N,N,82
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 2","Dymond ",N,N,"",0,367,"Allen","","Dianna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,37
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 2","Dymond ",N,N,"",0,367,"Bridges","","Craig","Green Party","Parti Vert",N,N,5
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 2","Dymond ",N,N,"",0,367,"Moulden","","Andrew","CAP","PAC",N,N,3
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 2","Dymond ",N,N,"",0,367,"Rota","","Anthony","Liberal","Libéral",Y,Y,83
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 2","Dymond ",N,N,"",0,367,"Sinicrope","","Joe","Conservative","Conservateur",N,N,41
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3","Dymond ",N,N,"",0,396,"Allen","","Dianna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,29
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3","Dymond ",N,N,"",0,396,"Bridges","","Craig","Green Party","Parti Vert",N,N,4
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3","Dymond ",N,N,"",0,396,"Moulden","","Andrew","CAP","PAC",N,N,1
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3","Dymond ",N,N,"",0,396,"Rota","","Anthony","Liberal","Libéral",Y,Y,119
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3","Dymond ",N,N,"",0,396,"Sinicrope","","Joe","Conservative","Conservateur",N,N,52
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3-1","Temiskaming Shores",N,N,"",0,197,"Allen","","Dianna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,24
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3-1","Temiskaming Shores",N,N,"",0,197,"Bridges","","Craig","Green Party","Parti Vert",N,N,4
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3-1","Temiskaming Shores",N,N,"",0,197,"Moulden","","Andrew","CAP","PAC",N,N,1
35057,Nipissing--Timiskaming","Nipissing--Timiskaming"," 3-1","Temiskaming Shores",N,N,"",0,197,"Rota","","Anthony","Liberal","Libéral",Y,Y,57
