Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
47014,Yorkton--Melville","Yorkton--Melville"," 1","McKague",N,N,"",0,137,"Antony","","Jen","Green Party","Parti Vert",N,N,4
47014,Yorkton--Melville","Yorkton--Melville"," 1","McKague",N,N,"",0,137,"Bell","","Bryan H.","Liberal","Libéral",N,N,10
47014,Yorkton--Melville","Yorkton--Melville"," 1","McKague",N,N,"",0,137,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,41
47014,Yorkton--Melville","Yorkton--Melville"," 1","McKague",N,N,"",0,137,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,22
47014,Yorkton--Melville","Yorkton--Melville"," 2","Archerwill",N,N,"",0,376,"Antony","","Jen","Green Party","Parti Vert",N,N,11
47014,Yorkton--Melville","Yorkton--Melville"," 2","Archerwill",N,N,"",0,376,"Bell","","Bryan H.","Liberal","Libéral",N,N,10
47014,Yorkton--Melville","Yorkton--Melville"," 2","Archerwill",N,N,"",0,376,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,119
47014,Yorkton--Melville","Yorkton--Melville"," 2","Archerwill",N,N,"",0,376,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,55
47014,Yorkton--Melville","Yorkton--Melville"," 3","Crooked River",N,N,"",0,134,"Antony","","Jen","Green Party","Parti Vert",N,N,4
47014,Yorkton--Melville","Yorkton--Melville"," 3","Crooked River",N,N,"",0,134,"Bell","","Bryan H.","Liberal","Libéral",N,N,1
47014,Yorkton--Melville","Yorkton--Melville"," 3","Crooked River",N,N,"",0,134,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,63
47014,Yorkton--Melville","Yorkton--Melville"," 3","Crooked River",N,N,"",0,134,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
47014,Yorkton--Melville","Yorkton--Melville"," 4","Mistatim",N,N,"",0,196,"Antony","","Jen","Green Party","Parti Vert",N,N,1
47014,Yorkton--Melville","Yorkton--Melville"," 4","Mistatim",N,N,"",0,196,"Bell","","Bryan H.","Liberal","Libéral",N,N,16
47014,Yorkton--Melville","Yorkton--Melville"," 4","Mistatim",N,N,"",0,196,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,85
47014,Yorkton--Melville","Yorkton--Melville"," 4","Mistatim",N,N,"",0,196,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
47014,Yorkton--Melville","Yorkton--Melville"," 5","Bjorkdale",N,N,"",0,335,"Antony","","Jen","Green Party","Parti Vert",N,N,13
47014,Yorkton--Melville","Yorkton--Melville"," 5","Bjorkdale",N,N,"",0,335,"Bell","","Bryan H.","Liberal","Libéral",N,N,12
47014,Yorkton--Melville","Yorkton--Melville"," 5","Bjorkdale",N,N,"",0,335,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,119
47014,Yorkton--Melville","Yorkton--Melville"," 5","Bjorkdale",N,N,"",0,335,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,27
47014,Yorkton--Melville","Yorkton--Melville"," 6","Chelan",N,N,"",0,161,"Antony","","Jen","Green Party","Parti Vert",N,N,2
47014,Yorkton--Melville","Yorkton--Melville"," 6","Chelan",N,N,"",0,161,"Bell","","Bryan H.","Liberal","Libéral",N,N,9
47014,Yorkton--Melville","Yorkton--Melville"," 6","Chelan",N,N,"",0,161,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,41
47014,Yorkton--Melville","Yorkton--Melville"," 6","Chelan",N,N,"",0,161,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,30
47014,Yorkton--Melville","Yorkton--Melville"," 7","Porcupine Plain",N,N,"",1,310,"Antony","","Jen","Green Party","Parti Vert",N,N,12
47014,Yorkton--Melville","Yorkton--Melville"," 7","Porcupine Plain",N,N,"",1,310,"Bell","","Bryan H.","Liberal","Libéral",N,N,10
47014,Yorkton--Melville","Yorkton--Melville"," 7","Porcupine Plain",N,N,"",1,310,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,128
47014,Yorkton--Melville","Yorkton--Melville"," 7","Porcupine Plain",N,N,"",1,310,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,29
47014,Yorkton--Melville","Yorkton--Melville"," 8","Porcupine Plain",N,N,"",1,413,"Antony","","Jen","Green Party","Parti Vert",N,N,16
47014,Yorkton--Melville","Yorkton--Melville"," 8","Porcupine Plain",N,N,"",1,413,"Bell","","Bryan H.","Liberal","Libéral",N,N,16
47014,Yorkton--Melville","Yorkton--Melville"," 8","Porcupine Plain",N,N,"",1,413,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,125
47014,Yorkton--Melville","Yorkton--Melville"," 8","Porcupine Plain",N,N,"",1,413,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,58
47014,Yorkton--Melville","Yorkton--Melville"," 9","Porcupine Plain",N,N,"",1,213,"Antony","","Jen","Green Party","Parti Vert",N,N,5
47014,Yorkton--Melville","Yorkton--Melville"," 9","Porcupine Plain",N,N,"",1,213,"Bell","","Bryan H.","Liberal","Libéral",N,N,3
47014,Yorkton--Melville","Yorkton--Melville"," 9","Porcupine Plain",N,N,"",1,213,"Breitkreuz","","Garry","Conservative","Conservateur",Y,Y,61
47014,Yorkton--Melville","Yorkton--Melville"," 9","Porcupine Plain",N,N,"",1,213,"Ottenbreit","","Doug","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,28
47014,Yorkton--Melville","Yorkton--Melville"," 10","Prairie River",N,N,"",0,129,"Antony","","Jen","Green Party","Parti Vert",N,N,0
47014,Yorkton--Melville","Yorkton--Melville"," 10","Prairie River",N,N,"",0,129,"Bell","","Bryan H.","Liberal","Libéral",N,N,0
