Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
61001,Western Arctic","Western Arctic"," 1","Sachs Harbour",N,N,"",0,62,"Bell","","Brendan","Conservative","Conservateur",N,N,8
61001,Western Arctic","Western Arctic"," 1","Sachs Harbour",N,N,"",0,62,"Bevington","","Dennis","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,7
61001,Western Arctic","Western Arctic"," 1","Sachs Harbour",N,N,"",0,62,"Gamble","","Sam","Green Party","Parti Vert",N,N,0
61001,Western Arctic","Western Arctic"," 1","Sachs Harbour",N,N,"",0,62,"Mackenzie-Scott","","Gabrielle","Liberal","Libéral",N,N,4
61001,Western Arctic","Western Arctic"," 1","Sachs Harbour",N,N,"",0,62,"Villebrun","","Noeline","FPNP","FPNP",N,N,0
61001,Western Arctic","Western Arctic"," 2","Ulukhaktok",N,N,"",3,234,"Bell","","Brendan","Conservative","Conservateur",N,N,44
61001,Western Arctic","Western Arctic"," 2","Ulukhaktok",N,N,"",3,234,"Bevington","","Dennis","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,37
61001,Western Arctic","Western Arctic"," 2","Ulukhaktok",N,N,"",3,234,"Gamble","","Sam","Green Party","Parti Vert",N,N,1
61001,Western Arctic","Western Arctic"," 2","Ulukhaktok",N,N,"",3,234,"Mackenzie-Scott","","Gabrielle","Liberal","Libéral",N,N,2
61001,Western Arctic","Western Arctic"," 2","Ulukhaktok",N,N,"",3,234,"Villebrun","","Noeline","FPNP","FPNP",N,N,1
61001,Western Arctic","Western Arctic"," 3","Aklavik",N,N,"",0,396,"Bell","","Brendan","Conservative","Conservateur",N,N,44
61001,Western Arctic","Western Arctic"," 3","Aklavik",N,N,"",0,396,"Bevington","","Dennis","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,54
61001,Western Arctic","Western Arctic"," 3","Aklavik",N,N,"",0,396,"Gamble","","Sam","Green Party","Parti Vert",N,N,2
61001,Western Arctic","Western Arctic"," 3","Aklavik",N,N,"",0,396,"Mackenzie-Scott","","Gabrielle","Liberal","Libéral",N,N,24
61001,Western Arctic","Western Arctic"," 3","Aklavik",N,N,"",0,396,"Villebrun","","Noeline","FPNP","FPNP",N,N,6
