district_code,district_name,province,lng,lat,zoom
10001,Avalon,Newfoundland and Labrador,-53.4375,47.07386,8
10002,Bonavista—Burin—Trinity,Newfoundland and Labrador,-53.76709,48.29781,7
10003,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,-55.64575,48.84303,7
10004,Labrador,Newfoundland and Labrador,-60.68848,56.31654,6
10005,Long Range Mountains,Newfoundland and Labrador,-57.37061,49.58935,7
10006,St. John's East,Newfoundland and Labrador,-52.85248,47.70422,9
10007,St. John's South—Mount Pearl,Newfoundland and Labrador,-52.75909,47.43738,9
11001,Cardigan,Prince Edward Island,-62.630312,46.19314,9
11002,Charlottetown,Prince Edward Island,-63.13087,46.26487,11
11003,Egmont,Prince Edward Island,-64.05304,46.68336,9
11004,Malpeque,Prince Edward Island,-63.43231,46.32607,9
12001,Cape Breton—Canso,Nova Scotia,-61.11694,45.79434,8
12002,Central Nova,Nova Scotia,-62.42432,45.3753,8
12003,Cumberland—Colchester,Nova Scotia,-63.83606,45.60251,8
12004,Dartmouth—Cole Harbour,Nova Scotia,-63.5511,44.68525,11
12005,Halifax,Nova Scotia,-63.58887,44.53861,11
12006,Halifax West,Nova Scotia,-63.7516,44.72722,11
12007,Kings—Hants,Nova Scotia,-64.02832,45.08128,9
12008,Sackville—Preston—Chezzetcook,Nova Scotia,-63.4639,44.76916,10
12009,South Shore—St. Margarets,Nova Scotia,-64.78638,44.17432,8
12010,Sydney—Victoria,Nova Scotia,-60.5127,46.55886,8
12011,West Nova,Nova Scotia,-65.67627,44.39062,8
13001,Acadie—Bathurst,New Brunswick,-65.344119,47.64319,9
13002,Beauséjour,New Brunswick,-64.48425,46.23495,9
13003,Fredericton,New Brunswick,-66.36566,45.97979,9
13004,Fundy Royal,New Brunswick,-65.34668,45.79242,9
13005,Madawaska—Restigouche,New Brunswick,-67.29675,47.64319,8
13006,Miramichi—Grand Lake,New Brunswick,-65.85205,46.85643,8
13007,Moncton—Riverview—Dieppe,New Brunswick,-64.80835,46.11609,10
13008,New Brunswick Southwest,New Brunswick,-66.64856,45.38688,8
13009,Saint John—Rothesay,New Brunswick,-66.04019,45.26329,10
13010,Tobique—Mactaquac,New Brunswick,-67.21985,46.62303,8
24001,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,-73.38867,55.85065,5
24002,Abitibi—Témiscamingue,Quebec,-78.56323,47.79102,7
24003,Ahuntsic-Cartierville,Quebec,-73.6853,45.54147,12
24004,Alfred-Pellan,Quebec,-73.65372,45.65245,11
24005,Argenteuil—La Petite-Nation,Quebec,-74.92126,45.79625,9
24006,Avignon—La Mitis—Matane—Matapédia,Quebec,-67.24731,48.50569,8
24007,Beauce,Quebec,-70.72998,46.19124,9
24008,Beauport—Limoilou,Quebec,-71.20171,46.85643,12
24009,Bécancour—Nicolet—Saurel,Quebec,-72.53723,46.19884,9
24010,Bellechasse—Les Etchemins—Lévis,Quebec,-70.66132,46.60039,9
24011,Beloeil—Chambly,Quebec,-73.19504,45.49576,10
24012,Berthier—Maskinongé,Quebec,-73.11951,46.38483,9
24013,Thérèse-De Blainville,Quebec,-73.83499,45.67716,12
24014,Pierre-Boucher—Les Patriotes—Verchères,Quebec,-73.25409,45.74069,10
24015,Bourassa,Quebec,-73.63449,45.59999,13
24016,Brome—Missisquoi,Quebec,-72.67731,45.16848,9
24017,Brossard—Saint-Lambert,Quebec,-73.45665,45.45676,12
24018,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,-68.71948,47.97154,8
24019,Charlesbourg—Haute-Saint-Charles,Quebec,-71.33011,46.90525,11
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Quebec,-70.83435,47.55058,8
24021,Châteauguay—Lacolle,Quebec,-73.59741,45.2101,10
24022,Chicoutimi—Le Fjord,Quebec,-70.50476,48.19356,9
24023,Compton—Stanstead,Quebec,-71.60065,45.34828,9
24024,Dorval—Lachine—LaSalle,Quebec,-73.70178,45.44303,12
24025,Drummond,Quebec,-72.44522,45.86037,10
24026,Gaspésie—Les Îles-de-la-Madeleine,Quebec,-65.31372,48.64743,8
24027,Gatineau,Quebec,-75.61684,45.51356,11
24028,Hochelaga,Quebec,-73.54557,45.5643,12
24029,Honoré-Mercier,Quebec,-73.58128,45.64477,12
24030,Hull—Aylmer,Quebec,-75.78815,45.42376,12
24031,Joliette,Quebec,-73.927,46.65698,8
24032,Jonquière,Quebec,-70.57617,50.30338,7
24033,La Pointe-de-l'Île,Quebec,-73.50918,45.64189,12
24034,La Prairie,Quebec,-73.56102,45.36324,11
24035,Lac-Saint-Jean,Quebec,-72.35596,49.88048,7
24036,Lac-Saint-Louis,Quebec,-73.87619,45.44038,11
24037,LaSalle—Émard—Verdun,Quebec,-73.58368,45.44231,12
24038,Laurentides—Labelle,Quebec,-75.04211,46.78502,8
24039,Laurier—Sainte-Marie,Quebec,-73.56514,45.52547,13
24040,Laval—Les Îles,Quebec,-73.82092,45.5405,12
24041,Longueuil—Charles-LeMoyne,Quebec,-73.44326,45.48565,12
24042,Lévis—Lotbinière,Quebec,-71.54297,46.54375,9
24043,Longueuil—Saint-Hubert,Quebec,-73.45184,45.53642,12
24044,Louis-Hébert,Quebec,-71.35483,46.77608,12
24045,Louis-Saint-Laurent,Quebec,-71.40907,46.85221,12
24046,Manicouagan,Quebec,-64.22607,51.27566,6
24047,Mégantic—L'Érable,Quebec,-71.23535,45.9053,9
24048,Mirabel,Quebec,-74.05197,45.63517,10
24049,Montarville,Quebec,-73.32756,45.54916,11
24050,Montcalm,Quebec,-73.67981,45.89383,10
24051,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,-69.76868,47.35371,8
24052,Mount Royal,Quebec,-73.65234,45.49504,12
24053,Notre-Dame-de-Grâce—Westmount,Quebec,-73.62162,45.47386,13
24054,Outremont,Quebec,-73.60771,45.512,13
24055,Papineau,Quebec,-73.61647,45.54748,13
24056,Pierrefonds—Dollard,Quebec,-73.85593,45.49817,12
24057,Pontiac,Quebec,-76.55273,46.60039,8
24058,Portneuf—Jacques-Cartier,Quebec,-71.82861,47.17851,8
24059,Québec,Quebec,-71.27003,46.8104,12
24060,Repentigny,Quebec,-73.40721,45.82258,11
24061,Richmond—Arthabaska,Quebec,-71.89728,45.8575,9
24062,Rivière-des-Mille-Îles,Quebec,-73.88786,45.59242,11
24063,Rivière-du-Nord,Quebec,-73.99361,45.86515,11
24064,Rosemont—La Petite-Patrie,Quebec,-73.58299,45.54712,13
24065,Marc-Aurèle-Fortin,Quebec,-73.77457,45.60659,12
24066,Saint-Hyacinthe—Bagot,Quebec,-72.75284,45.65917,10
24067,Saint-Jean,Quebec,-73.24997,45.24105,10
24068,Saint-Laurent,Quebec,-73.71105,45.49768,12
24069,Saint-Léonard—Saint-Michel,Quebec,-73.60256,45.58365,13
24070,Saint-Maurice—Champlain,Quebec,-73.72925,47.82791,7
24071,Salaberry—Suroît,Quebec,-74.06433,45.17816,9
24072,Shefford,Quebec,-72.64709,45.41773,10
24073,Sherbrooke,Quebec,-71.90071,45.40134,11
24074,Vaudreuil—Soulanges,Quebec,-74.10416,45.40231,10
24075,Terrebonne,Quebec,-73.70453,45.73494,11
