party,date,avg,sd,eff_n,lower,upper,region
Liberal,2020-01-01,0.31514022616210174,0.016580237321626,3.747626607909415,0.30105114945519934,0.32922930286900415,National
Liberal,2020-01-02,0.31514484449404195,0.016625703493183347,3.7681615845286642,0.3010557317820071,0.32923395720607684,National
Liberal,2020-01-03,0.3151500205436702,0.016675895455821956,3.787410246900351,0.30105437228068477,0.3292456688066556,National
Liberal,2020-01-04,0.3151556237367038,0.016730843728046,3.805497694375938,0.3010472133412612,0.32926403413214644,National
Liberal,2020-01-05,0.31908988731139193,0.01615537719817472,3.3654514920610046,0.3041884095755512,0.33399136504723265,National
Liberal,2020-01-06,0.3227895895227903,0.01581007713414253,2.9582601465289047,0.3069920194343742,0.3385871596112064,National
Liberal,2020-01-07,0.32631229618979957,0.015611319168817245,2.5786670649232795,0.3095886551921113,0.3430359371874877,National
Liberal,2020-01-08,0.3296900572392114,0.015517449374213215,2.223709116839468,0.3120402565846496,0.3473398578937733,National
Liberal,2020-01-09,0.33294447488262374,0.015502958547219206,1.8912783269797004,0.31438304695829183,0.35150590280695565,National
Liberal,2020-01-10,0.33216315042672145,0.01618577745551866,2.0367815681078314,0.31348652575161107,0.35083977510183184,National
Liberal,2020-01-11,0.3315216203855522,0.016692920702616902,2.1679135187692156,0.31285307248298005,0.3501901682881244,National
Liberal,2020-01-12,0.33097223723040814,0.017098707302735862,2.288781236609361,0.3123640438109837,0.3495804306498325,National
Liberal,2020-01-13,0.33049114038338356,0.01743759307332172,2.4013211790921978,0.3119665297515112,0.34901575101525595,National
Liberal,2020-01-14,0.33006361702986564,0.017729385203777988,2.5067109498703353,0.31163131587257054,0.3484959181871608,National
Liberal,2020-01-15,0.32967961077937974,0.01798678221330002,2.6057730547451015,0.31134041843592697,0.34801880312283257,National
Liberal,2020-01-16,0.32933180540329826,0.01821850211122412,2.6991345847315875,0.3110819786767772,0.3475816321298193,National
Liberal,2020-01-17,0.3361769129753926,0.021790523227859224,2.7244333565744445,0.3143996828269159,0.3579541431238693,National
Liberal,2020-01-18,0.3428158126925467,0.02540666498776966,2.7668694126883078,0.31763897703789473,0.3679926483471987,National
Liberal,2020-01-19,0.3450186582833375,0.0296146045195623,2.9231898187645142,0.31656930093699176,0.37346801562968324,National
