geography,date,party,outcome,pct_05,pct_50,pct_95
Nova Scotia,2021-08-15,Conservative,Seats,0,1,3
Nova Scotia,2021-08-15,Green,Seats,0,0,0
Nova Scotia,2021-08-15,Liberal,Seats,7,10,11
Nova Scotia,2021-08-15,NDP,Seats,0,0,3
Nova Scotia,2021-08-15,People's,Seats,0,0,0
Nova Scotia,2021-08-15,Conservative,Vote share,0.12009427682555315,0.19521299187274788,0.2701487201157903
Nova Scotia,2021-08-15,Green,Vote share,0.03328686082561921,0.08103345267079665,0.13598401186174336
Nova Scotia,2021-08-15,Liberal,Vote share,0.36774382977517184,0.45104259217886455,0.5391960871240259
Nova Scotia,2021-08-15,NDP,Vote share,0.1317489159678402,0.21164499105740983,0.29164273416654685
Nova Scotia,2021-08-15,People's,Vote share,0.012730903771298272,0.053835370332945026,0.09306745332670127
Nunavut,2021-08-15,Conservative,Seats,0,0,1
Nunavut,2021-08-15,Green,Seats,0,0,0
Nunavut,2021-08-15,Liberal,Seats,0,0,1
Nunavut,2021-08-15,NDP,Seats,0,1,1
Nunavut,2021-08-15,People's,Seats,0,0,0
Nunavut,2021-08-15,Conservative,Vote share,0.06232742624115666,0.1942680937183297,0.32702999208164263
Nunavut,2021-08-15,Green,Vote share,0,0.03634266079762382,0.14265857461393122
Nunavut,2021-08-15,Liberal,Vote share,0.16185714915257002,0.30134198383325805,0.4495641382803341
Nunavut,2021-08-15,NDP,Vote share,0.20125105395817516,0.40102257046901124,0.5879696086574562
Nunavut,2021-08-15,People's,Vote share,0,0.04961016884970024,0.10706115979632601
Ontario,2021-08-15,Conservative,Seats,25,33,41
Ontario,2021-08-15,Green,Seats,0,0,0
Ontario,2021-08-15,Liberal,Seats,66,78,89
Ontario,2021-08-15,NDP,Seats,5,9,18
Ontario,2021-08-15,People's,Seats,0,0,0
Ontario,2021-08-15,Conservative,Vote share,0.2284682870768685,0.2731820732601462,0.3221051117189105
Ontario,2021-08-15,Green,Vote share,0.02459039697107373,0.06286814811168848,0.10517956692361748
Ontario,2021-08-15,Liberal,Vote share,0.3264907535682171,0.3893921941048013,0.45239658917683295
Ontario,2021-08-15,NDP,Vote share,0.1534079416352471,0.20783387867157016,0.25976041529861216
Ontario,2021-08-15,People's,Vote share,0.03003825153678445,0.0602811024240187,0.09081698201306669
Prince Edward Island,2021-08-15,Conservative,Seats,0,0,1
Prince Edward Island,2021-08-15,Green,Seats,0,0,0
Prince Edward Island,2021-08-15,Liberal,Seats,3,4,4
Prince Edward Island,2021-08-15,NDP,Seats,0,0,1
Prince Edward Island,2021-08-15,People's,Seats,0,0,0
Prince Edward Island,2021-08-15,Conservative,Vote share,0.11156795885805428,0.20127900860265735,0.28721203168243614
Prince Edward Island,2021-08-15,Green,Vote share,0.09079969215220367,0.15614451410551858,0.22605466396826718
Prince Edward Island,2021-08-15,Liberal,Vote share,0.37013130670524486,0.4675467176878567,0.5705294837212239
Prince Edward Island,2021-08-15,NDP,Vote share,0.035565718909078496,0.12325087685293748,0.2166491118197989
Prince Edward Island,2021-08-15,People's,Vote share,0.0031096330160260395,0.04428966757038934,0.0839308254886946
Quebec,2021-08-15,Bloc,Seats,21,28,35
Quebec,2021-08-15,Conservative,Seats,8,10,12
Quebec,2021-08-15,Green,Seats,0,0,0
Quebec,2021-08-15,Liberal,Seats,31,37,44
Quebec,2021-08-15,NDP,Seats,1,3,5
Quebec,2021-08-15,People's,Seats,0,0,0
Quebec,2021-08-15,Bloc,Vote share,0.22414114888216286,0.27834147463004866,0.335226074092464
Quebec,2021-08-15,Conservative,Vote share,0.10043256229814308,0.15416311457646567,0.21087229887841027
Quebec,2021-08-15,Green,Vote share,0.01209476236086197,0.058017286340452626,0.1073305675187557
Quebec,2021-08-15,Liberal,Vote share,0.27759626536855053,0.3352929458359927,0.3970021554805035
Quebec,2021-08-15,NDP,Vote share,0.07063788155926512,0.11588452910655496,0.16504487995597897
Quebec,2021-08-15,People's,Vote share,0.02014206439591683,0.049729972413301723,0.07961448767548632
Saskatchewan,2021-08-15,Conservative,Seats,10,13,14
Saskatchewan,2021-08-15,Green,Seats,0,0,0
Saskatchewan,2021-08-15,Liberal,Seats,0,0,2
Saskatchewan,2021-08-15,NDP,Seats,0,1,3
Saskatchewan,2021-08-15,People's,Seats,0,0,0
Saskatchewan,2021-08-15,Conservative,Vote share,0.4430881615444865,0.5274710974921811,0.6180247613338251
Saskatchewan,2021-08-15,Green,Vote share,4.144821102425814e-4,0.03910509441994913,0.08996303119344493
Saskatchewan,2021-08-15,Liberal,Vote share,0.08921098741474988,0.16513416733839398,0.23970374940231903
Saskatchewan,2021-08-15,NDP,Vote share,0.12889356074276095,0.2005466711808473,0.27420963229211687
Saskatchewan,2021-08-15,People's,Vote share,0.019721176365549074,0.05990294261722945,0.09937144875195025
Yukon,2021-08-15,Conservative,Seats,0,0,1
Yukon,2021-08-15,Green,Seats,0,0,0
Yukon,2021-08-15,Liberal,Seats,0,1,1
Yukon,2021-08-15,NDP,Seats,0,0,1
Yukon,2021-08-15,People's,Seats,0,0,0
Yukon,2021-08-15,Conservative,Vote share,0.11267608967642675,0.23533928554288158,0.35673182104397994
Yukon,2021-08-15,Green,Vote share,0.0029205425776067423,0.09925120549694727,0.20006733810240637
Yukon,2021-08-15,Liberal,Vote share,0.24552121720761697,0.37670032122738417,0.5145716609025455
Yukon,2021-08-15,NDP,Vote share,0.023115152945720283,0.22523939215277095,0.40797572382149816
Yukon,2021-08-15,People's,Vote share,0.0015770041773271268,0.057251855387025354,0.11112860096701155
