province,lng,lat,zoom
Newfoundland and Labrador,-59.63379,53.93022,5
Prince Edward Island,-63.38562,46.35072,8
Nova Scotia,-62.90771,45.09679,7
New Brunswick,-66.31348,46.56641,7
Quebec,-70.75195,54.1367,5
Ontario,-85.20996,50.06419,5
Manitoba,-96.9873,55.02802,5
Saskatchewan,-105.73242,55.15377,5
Alberta,-114.74121,55.52863,5
British Columbia,-126.29883,55.10352,5
Yukon,-135.35156,64.6427,5
Northwest Territories,-119.26758,65.33018,5
Nunavut,-86.66016,72.65959,4
