region,pollster,rating,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
MB/SK,EKOS,,2021-08-18,28,40,19,3,,7,CPC +12
MB/SK,EKOS,,2021-08-17,29,42,22,0,,5,CPC +13
MB/SK,Counsel Public Affairs,,2021-08-17,18,46,22,3,,,CPC +24
MB/SK,Angus Reid,,2021-08-16,19,44,24,2,,5,CPC +20
MB/SK,EKOS,,2021-08-15,29,45,15,0,,7,CPC +16
MB/SK,Ipsos,,2021-08-15,23,46,24,6,,,CPC +22
MB/SK,Forum Research,,2021-08-15,20,40,24,5,,4,CPC +16
MB/SK,Léger,,2021-08-12,31,44,20,1,,3,CPC +13
MB/SK,Mainstreet Research,,2021-08-11,25,49,18,3,,,CPC +24
MB/SK,Angus Reid,,2021-08-09,23,49,20,1,,3,CPC +26
MB/SK,Abacus Data,,2021-08-09,31,36,20,5,,4,CPC +5
MB/SK,Angus Reid,,2021-08-01,23,45,22,1,,4,CPC +22
MB/SK,Abacus Data,,2021-07-31,31,35,22,4,,2,CPC +4
MB/SK,Léger,,2021-07-31,24,37,26,5,,5,CPC +11
MB/SK,Angus Reid,,2021-07-25,22,44,25,0,,3,CPC +19
MB/SK,Mainstreet Research,,2021-07-25,33,39,29,3,,,CPC +6
MB/SK,Ipsos,,2021-07-20,21,41,24,3,,8,CPC +17
MB/SK,EKOS,,2021-07-18,23,40,23,6,,5,CPC +17
MB/SK,Léger,,2021-07-17,27,39,27,2,,4,CPC +12
MB/SK,Angus Reid,,2021-07-15,22,46,18,1,,5,CPC +24
MB/SK,Léger,,2021-07-02,27,50,16,5,,3,CPC +23
MB/SK,Abacus Data,,2021-06-29,26,38,27,5,,1,CPC +11
MB/SK,Ipsos,,2021-06-20,25,43,23,7,,,CPC +18
MB/SK,Abacus Data,,2021-06-20,34,33,25,5,,1,LPC +1
MB/SK,Léger,,2021-06-19,19,47,22,5,,,CPC +25
MB/SK,Research Co.,,2021-06-13,23,50,24,1,,1,CPC +26
MB/SK,Mainstreet Research,,2021-06-13,28,34,23,5,,,CPC +6
MB/SK,Abacus Data,,2021-06-13,17,44,32,3,,3,CPC +12
MB/SK,EKOS,,2021-06-11,23,29,29,8,,6,Tie
MB/SK,Léger,,2021-06-05,22,45,17,8,,,CPC +23
MB/SK,Angus Reid,,2021-06-05,22,46,22,2,,,CPC +24
MB/SK,Counsel Public Affairs,,2021-06-03,24,43,22,4,,,CPC +19
MB/SK,Abacus Data,,2021-05-27,19,40,19,7,,7,CPC +21
MB/SK,Mainstreet Research,,2021-05-22,15,56,20,6,,,CPC +36
