district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle,incumbent
11003,Egmont,Egmont,Liberal,McGuire,Joe,,Y
11003,Egmont,Egmont,NDP,Russell,Regena,Kaye,N
11003,Egmont,Egmont,Conservative,Harper,Reg,,N
11003,Egmont,Egmont,Green,Novaczek,Irené,,N
11004,Malpeque,Malpeque,Liberal,Easter,Wayne,,Y
11004,Malpeque,Malpeque,Conservative,Crane,Mary,,N
11004,Malpeque,Malpeque,Green,Labchuk,Sharon,,N
11004,Malpeque,Malpeque,NDP,Bingham,Ken,,N
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal,Cuzner,Rodger,,Y
12001,Cape Breton--Canso,Cape Breton--Canso,Green,Gibson,Seumas,,N
12001,Cape Breton--Canso,Cape Breton--Canso,NDP,Hartery,Shirley,,N
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative,MacNeil,Kenzie,,N
12002,Central Nova,Nova-Centre,Liberal,Green,Susan,L.,N
12002,Central Nova,Nova-Centre,NDP,MacDonald,Alexis,,N
12002,Central Nova,Nova-Centre,Conservative,MacKay,Peter,G.,Y
12002,Central Nova,Nova-Centre,Green,Mosher,Rebecca,,N
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal,Savage,Michael,John,N
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,NDP,MacAlpine-Gillis,Susan,,N
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,PC,Parsons,Tracy,,N
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative,MacDonald,Mike,,N
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Marxist-Leninist,Spurr,Charles,,N
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green,Marshall,Michael,,N
12004,Halifax,Halifax,Liberal,Fougere,Sheila,,N
12004,Halifax,Halifax,Conservative,Keefe,Kevin,Leslie,N
12004,Halifax,Halifax,Green,Oddy,Michael,,N
12004,Halifax,Halifax,NDP,McDonough,Alexa,,Y
12005,Halifax West,Halifax-Ouest,Liberal,Regan,Geoff,,Y
12005,Halifax West,Halifax-Ouest,Green,Willison,Martin,,N
12005,Halifax West,Halifax-Ouest,Conservative,MacPhee,Ken,,N
12005,Halifax West,Halifax-Ouest,NDP,Carr,Bill,,N
12006,Kings--Hants,Kings--Hants,Liberal,Brison,Scott,,Y
12006,Kings--Hants,Kings--Hants,Independent,Hennigar,Richard,,N
12006,Kings--Hants,Kings--Hants,Christian Heritage,Hnatiuk,Jim,,N
12006,Kings--Hants,Kings--Hants,Conservative,Mullan,Bob,,N
12006,Kings--Hants,Kings--Hants,Green,Stacey,Kevin,,N
12006,Kings--Hants,Kings--Hants,NDP,Hambling,Skip,,N
12007,North Nova,Nova-Nord,Liberal,Brushett,Dianne,,N
12007,North Nova,Nova-Nord,PC,Moors,Jack,,N
12007,North Nova,Nova-Nord,Conservative,Casey,Bill,,Y
12007,North Nova,Nova-Nord,Green,Richardson,Sheila ,G.,N
12007,North Nova,Nova-Nord,NDP,Sagar,Margaret,E.,N
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Liberal,Stevens,Dale,,N
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,PC,Moors,Greg,,N
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Conservative,Streatch,Steve,,N
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Green,Fullerton,David,,N
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,NDP,Stoffer,Peter,,Y
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Liberal,Chandler,John,,N
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,NDP,Earle,Gordon,,N
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Conservative,Keddy,Gerald,,Y
