district_code,district,candidate,incumbent,party
10001,Avalon/Avalon,Rick Dalton,N,Conservative
10001,Avalon/Avalon,R. John Efford,Y,Liberal
10001,Avalon/Avalon,Don C. Ferguson,N,Green
10001,Avalon/Avalon,Michael Kehoe,N,NDP
10002,Bonavista--Exploits/Bonavista--Exploits,Rex Barnes,Y,Conservative
10002,Bonavista--Exploits/Bonavista--Exploits,John Lannon,N,Independent
10002,Bonavista--Exploits/Bonavista--Exploits,Samuel Robert McLean,N,NDP
10002,Bonavista--Exploits/Bonavista--Exploits,Scott Simms,N,Liberal
10002,Bonavista--Exploits/Bonavista--Exploits,Ed Sailor White,N,Green
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,Gerry Byrne,Y,Liberal
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,Wynanne Downer,N,Conservative
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,Steve Durant,N,Green
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,Holly Pike,N,NDP
10004,Labrador/Labrador,Ern Condon,N,Independent
10004,Labrador/Labrador,Shawn Crann,N,NDP
10004,Labrador/Labrador,Lori-Ann Martino,N,Green
10004,Labrador/Labrador,Lawrence David O'Brien,Y,Liberal
10004,Labrador/Labrador,Merrill Strachan,N,Conservative
10005,Random--Burin--St. George's/Random--Burin--St. George's,Justin Dollimont,N,Green
10005,Random--Burin--St. George's/Random--Burin--St. George's,Bill Matthews,Y,Liberal
10005,Random--Burin--St. George's/Random--Burin--St. George's,Des McGrath,N,NDP
10005,Random--Burin--St. George's/Random--Burin--St. George's,Larry Peckford,N,Conservative
10006,St. John's North/St. John's-Nord,Norman E Doyle,Y,Conservative
10006,St. John's North/St. John's-Nord,Walter Noel,N,Liberal
10006,St. John's North/St. John's-Nord,Janine Piller,N,NDP
10006,St. John's North/St. John's-Nord,Scott Vokey,N,Green
10007,St. John's South/St. John's-Sud,Siobhan Coady,N,Liberal
10007,St. John's South/St. John's-Sud,Loyola Hearn,Y,Conservative
10007,St. John's South/St. John's-Sud,Peg Norman,N,NDP
10007,St. John's South/St. John's-Sud,Stephen Daniel Willcott,N,Green
11001,Cardigan/Cardigan,Lawrence MacAulay,Y,Liberal
11001,Cardigan/Cardigan,Dave MacKinnon,N,NDP
11001,Cardigan/Cardigan,Peter McQuaid,N,Conservative
11001,Cardigan/Cardigan,Jeremy Stiles,N,Green
11002,Charlottetown/Charlottetown,Dody Crane,N,NDP
11002,Charlottetown/Charlottetown,Baird Judson,N,CHP
11002,Charlottetown/Charlottetown,Will McFadden,N,Green
11002,Charlottetown/Charlottetown,Shawn Murphy,Y,Liberal
11002,Charlottetown/Charlottetown,Darren Peters,N,Conservative
11003,Egmont/Egmont,Reg Harper,N,Conservative
11003,Egmont/Egmont,Joe McGuire,Y,Liberal
11003,Egmont/Egmont,Irené Novaczek,N,Green
11003,Egmont/Egmont,Regena Kaye Russell,N,NDP
11004,Malpeque/Malpeque,Ken Bingham,N,NDP
11004,Malpeque/Malpeque,Mary Crane,N,Conservative
11004,Malpeque/Malpeque,Wayne Easter,Y,Liberal
11004,Malpeque/Malpeque,Sharon Labchuk,N,Green
12001,Cape Breton--Canso/Cape Breton--Canso,Rodger Cuzner,Y,Liberal
12001,Cape Breton--Canso/Cape Breton--Canso,Seumas Gibson,N,Green
12001,Cape Breton--Canso/Cape Breton--Canso,Shirley Hartery,N,NDP
12001,Cape Breton--Canso/Cape Breton--Canso,Kenzie MacNeil,N,Conservative
12002,Central Nova/Nova-Centre,Susan L. Green,N,Liberal
12002,Central Nova/Nova-Centre,Alexis MacDonald,N,NDP
12002,Central Nova/Nova-Centre,Peter G. MacKay,Y,Conservative
12002,Central Nova/Nova-Centre,Rebecca Mosher,N,Green
12003,Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,Susan MacAlpine-Gillis,N,NDP
12003,Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,Mike MacDonald,N,Conservative
12003,Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,Michael Marshall,N,Green
12003,Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,Tracy Parsons,N,PC
12003,Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,Michael John Savage,N,Liberal
12003,Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,Charles Spurr,N,Marxist-Leninist
12004,Halifax/Halifax,Sheila Fougere,N,Liberal
12004,Halifax/Halifax,Kevin Leslie Keefe,N,Conservative
12004,Halifax/Halifax,Alexa McDonough,Y,NDP
12004,Halifax/Halifax,Michael Oddy,N,Green
12005,Halifax West/Halifax-Ouest,Bill Carr,N,NDP
12005,Halifax West/Halifax-Ouest,Ken MacPhee,N,Conservative
12005,Halifax West/Halifax-Ouest,Geoff Regan,Y,Liberal
12005,Halifax West/Halifax-Ouest,Martin Willison,N,Green
12006,Kings--Hants/Kings--Hants,Scott Brison,Y,Liberal
12006,Kings--Hants/Kings--Hants,Skip Hambling,N,NDP
12006,Kings--Hants/Kings--Hants,Richard Hennigar,N,Independent
12006,Kings--Hants/Kings--Hants,Jim Hnatiuk,N,CHP
12006,Kings--Hants/Kings--Hants,Bob Mullan,N,Conservative
12006,Kings--Hants/Kings--Hants,Kevin Stacey,N,Green
12007,North Nova/Nova-Nord,Dianne Brushett,N,Liberal
12007,North Nova/Nova-Nord,Bill Casey,Y,Conservative
12007,North Nova/Nova-Nord,Jack Moors,N,PC
12007,North Nova/Nova-Nord,Sheila G. Richardson,N,Green
12007,North Nova/Nova-Nord,Margaret E. Sagar,N,NDP
12008,Sackville--Eastern Shore/Sackville--Eastern Shore,David Fullerton,N,Green
12008,Sackville--Eastern Shore/Sackville--Eastern Shore,Greg Moors,N,PC
12008,Sackville--Eastern Shore/Sackville--Eastern Shore,Dale Stevens,N,Liberal
12008,Sackville--Eastern Shore/Sackville--Eastern Shore,Peter Stoffer,Y,NDP
12008,Sackville--Eastern Shore/Sackville--Eastern Shore,Steve Streatch,N,Conservative
12009,South Shore--St. Margaret's/South Shore--St. Margaret's,John Chandler,N,Liberal
12009,South Shore--St. Margaret's/South Shore--St. Margaret's,Gordon Earle,N,NDP
12009,South Shore--St. Margaret's/South Shore--St. Margaret's,Gerald Keddy,Y,Conservative
12009,South Shore--St. Margaret's/South Shore--St. Margaret's,Katie Morris Boudreau,N,Green
12010,Sydney--Victoria/Sydney--Victoria,John Hugh Edwards,N,NDP
12010,Sydney--Victoria/Sydney--Victoria,Mark Eyking,Y,Liberal
12010,Sydney--Victoria/Sydney--Victoria,B. Chris Gallant,N,Independent
12010,Sydney--Victoria/Sydney--Victoria,Howie MacDonald,N,Conservative
12010,Sydney--Victoria/Sydney--Victoria,Chris Milburn,N,Green
12010,Sydney--Victoria/Sydney--Victoria,Cathy Thériault,N,Marijuana
12011,West Nova/Nova-Ouest,Edmund Arthur Bull,N,NDP
12011,West Nova/Nova-Ouest,Jon Charles Carey,N,Conservative
12011,West Nova/Nova-Ouest,Matthew Granger,N,Green
12011,West Nova/Nova-Ouest,Robert Thibault,Y,Liberal
13001,Acadie--Bathurst/Acadie--Bathurst,Joel E. Bernard,N,Conservative
13001,Acadie--Bathurst/Acadie--Bathurst,Yvon Godin,Y,NDP
13001,Acadie--Bathurst/Acadie--Bathurst,Mario Lanteigne,N,Green
13001,Acadie--Bathurst/Acadie--Bathurst,Serge Rousselle,N,Liberal
13002,Beauséjour/Beauséjour,Omer Bourque,N,NDP
13002,Beauséjour/Beauséjour,Anna Girouard,N,Green
13002,Beauséjour/Beauséjour,Dominic LeBlanc,Y,Liberal
13002,Beauséjour/Beauséjour,Angela Vautour,N,Conservative
13003,Fredericton/Fredericton,John Carty,N,NDP
13003,Fredericton/Fredericton,Kent Fox,N,Conservative
13003,Fredericton/Fredericton,Daron Letts,N,Green
13003,Fredericton/Fredericton,Andy Scott,Y,Liberal
13004,Fundy/Fundy,David Raymond Amos,N,Independent
13004,Fundy/Fundy,Karin Bach,N,Green
13004,Fundy/Fundy,Pat Hanratty,N,NDP
13004,Fundy/Fundy,John Herron,Y,Liberal
13004,Fundy/Fundy,Rob Moore,N,Conservative
13005,Madawaska--Restigouche/Madawaska--Restigouche,Jovette Cyr,N,Green
13005,Madawaska--Restigouche/Madawaska--Restigouche,Jean-Claude J.C. D'Amours,N,Liberal
13005,Madawaska--Restigouche/Madawaska--Restigouche,Rodolphe Martin,N,NDP
13005,Madawaska--Restigouche/Madawaska--Restigouche,Benoit Violette,N,Conservative
13006,Miramichi/Miramichi,Charles Isaac Hubbard,Y,Liberal
13006,Miramichi/Miramichi,Michael J. Morrison,N,Conservative
13006,Miramichi/Miramichi,Hilaire Rousselle,N,NDP
13006,Miramichi/Miramichi,Garry Sanipass,N,Green
13007,Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,Claudette Bradshaw,Y,Liberal
13007,Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,Judith Hamel,N,Green
13007,Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,Hélène Lapointe,N,NDP
13007,Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,Jean LeBlanc,N,Conservative
13008,St. Croix--Belleisle/St. Croix--Belleisle,Jim Dunlap,N,Liberal
13008,St. Croix--Belleisle/St. Croix--Belleisle,Erik Matthew Millett,N,Green
13008,St. Croix--Belleisle/St. Croix--Belleisle,David Szemerda,N,CAP
13008,St. Croix--Belleisle/St. Croix--Belleisle,Greg Thompson,Y,Conservative
13008,St. Croix--Belleisle/St. Croix--Belleisle,Patrick Webber,N,NDP
13009,Saint John/Saint John,Terry Albright,N,NDP
13009,Saint John/Saint John,Jonathan Cormier,N,Green
13009,Saint John/Saint John,Bob McVicar,N,Conservative
13009,Saint John/Saint John,Tom Oland,N,Independent
13009,Saint John/Saint John,Jim Wood,N,Marijuana
13009,Saint John/Saint John,Paul Zed,N,Liberal
13010,Tobique--Mactaquac/Tobique--Mactaquac,Mike Allen,N,Conservative
13010,Tobique--Mactaquac/Tobique--Mactaquac,Scott Jones,N,Green
13010,Tobique--Mactaquac/Tobique--Mactaquac,Jason Mapplebeck,N,NDP
13010,Tobique--Mactaquac/Tobique--Mactaquac,Andy Savoy,Y,Liberal
24001,Abitibi--Témiscamingue/Abitibi--Témiscamingue,Gilbert Barrette,Y,Liberal
24001,Abitibi--Témiscamingue/Abitibi--Témiscamingue,Bernard Hugues Beauchesne,N,Conservative
24001,Abitibi--Témiscamingue/Abitibi--Témiscamingue,Marc Lemay,N,Bloc
24001,Abitibi--Témiscamingue/Abitibi--Témiscamingue,Patrick Rancourt,N,Green
24001,Abitibi--Témiscamingue/Abitibi--Témiscamingue,Dennis Shushack,N,NDP
24002,Ahuntsic/Ahuntsic,Eleni Bakopanos,Y,Liberal
24002,Ahuntsic/Ahuntsic,Annick Bergeron,N,NDP
24002,Ahuntsic/Ahuntsic,F.X. De Longchamp,N,Marijuana
24002,Ahuntsic/Ahuntsic,Marsha Fine,N,Marxist-Leninist
