Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48027,"Wild Rose","Wild Rose"," 1","Big Horn 144A - Clearwater County",N,N,"",1,174,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,8
48027,"Wild Rose","Wild Rose"," 1","Big Horn 144A - Clearwater County",N,N,"",1,174,"MacDonald","","Mike","Green Party","Parti Vert",N,N,10
48027,"Wild Rose","Wild Rose"," 1","Big Horn 144A - Clearwater County",N,N,"",1,174,"Reilly","","John Douglas","Liberal","Libéral",N,N,6
48027,"Wild Rose","Wild Rose"," 1","Big Horn 144A - Clearwater County",N,N,"",1,174,"Richards","","Blake","Conservative","Conservateur",Y,Y,45
48027,"Wild Rose","Wild Rose"," 1","Big Horn 144A - Clearwater County",N,N,"",1,174,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,0
48027,"Wild Rose","Wild Rose"," 1-1","Big Horn 144A",N,N,"",0,31,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,24
48027,"Wild Rose","Wild Rose"," 1-1","Big Horn 144A",N,N,"",0,31,"MacDonald","","Mike","Green Party","Parti Vert",N,N,0
48027,"Wild Rose","Wild Rose"," 1-1","Big Horn 144A",N,N,"",0,31,"Reilly","","John Douglas","Liberal","Libéral",N,N,3
48027,"Wild Rose","Wild Rose"," 1-1","Big Horn 144A",N,N,"",0,31,"Richards","","Blake","Conservative","Conservateur",Y,Y,4
48027,"Wild Rose","Wild Rose"," 1-1","Big Horn 144A",N,N,"",0,31,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,0
48027,"Wild Rose","Wild Rose"," 2","Strachan",N,N,"4",0,59,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
48027,"Wild Rose","Wild Rose"," 2","Strachan",N,N,"4",0,59,"MacDonald","","Mike","Green Party","Parti Vert",N,N,0
48027,"Wild Rose","Wild Rose"," 2","Strachan",N,N,"4",0,59,"Reilly","","John Douglas","Liberal","Libéral",N,N,0
48027,"Wild Rose","Wild Rose"," 2","Strachan",N,N,"4",0,59,"Richards","","Blake","Conservative","Conservateur",Y,Y,0
48027,"Wild Rose","Wild Rose"," 2","Strachan",N,N,"4",0,59,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,0
48027,"Wild Rose","Wild Rose"," 3","Ricinus",N,N,"",0,335,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
48027,"Wild Rose","Wild Rose"," 3","Ricinus",N,N,"",0,335,"MacDonald","","Mike","Green Party","Parti Vert",N,N,6
48027,"Wild Rose","Wild Rose"," 3","Ricinus",N,N,"",0,335,"Reilly","","John Douglas","Liberal","Libéral",N,N,1
48027,"Wild Rose","Wild Rose"," 3","Ricinus",N,N,"",0,335,"Richards","","Blake","Conservative","Conservateur",Y,Y,177
48027,"Wild Rose","Wild Rose"," 3","Ricinus",N,N,"",0,335,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,0
48027,"Wild Rose","Wild Rose"," 4","Chedderville",N,N,"",1,457,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,15
48027,"Wild Rose","Wild Rose"," 4","Chedderville",N,N,"",1,457,"MacDonald","","Mike","Green Party","Parti Vert",N,N,7
48027,"Wild Rose","Wild Rose"," 4","Chedderville",N,N,"",1,457,"Reilly","","John Douglas","Liberal","Libéral",N,N,7
48027,"Wild Rose","Wild Rose"," 4","Chedderville",N,N,"",1,457,"Richards","","Blake","Conservative","Conservateur",Y,Y,252
48027,"Wild Rose","Wild Rose"," 4","Chedderville",N,N,"",1,457,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,0
48027,"Wild Rose","Wild Rose"," 5","Stauffer",N,N,"",0,369,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
48027,"Wild Rose","Wild Rose"," 5","Stauffer",N,N,"",0,369,"MacDonald","","Mike","Green Party","Parti Vert",N,N,4
48027,"Wild Rose","Wild Rose"," 5","Stauffer",N,N,"",0,369,"Reilly","","John Douglas","Liberal","Libéral",N,N,5
48027,"Wild Rose","Wild Rose"," 5","Stauffer",N,N,"",0,369,"Richards","","Blake","Conservative","Conservateur",Y,Y,164
48027,"Wild Rose","Wild Rose"," 5","Stauffer",N,N,"",0,369,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,3
48027,"Wild Rose","Wild Rose"," 6","Caroline",N,N,"",1,618,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,19
48027,"Wild Rose","Wild Rose"," 6","Caroline",N,N,"",1,618,"MacDonald","","Mike","Green Party","Parti Vert",N,N,17
48027,"Wild Rose","Wild Rose"," 6","Caroline",N,N,"",1,618,"Reilly","","John Douglas","Liberal","Libéral",N,N,5
48027,"Wild Rose","Wild Rose"," 6","Caroline",N,N,"",1,618,"Richards","","Blake","Conservative","Conservateur",Y,Y,310
48027,"Wild Rose","Wild Rose"," 6","Caroline",N,N,"",1,618,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,3
48027,"Wild Rose","Wild Rose"," 7","Caroline",N,N,"",1,530,"Horvath","","Jeff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,16
48027,"Wild Rose","Wild Rose"," 7","Caroline",N,N,"",1,530,"MacDonald","","Mike","Green Party","Parti Vert",N,N,16
48027,"Wild Rose","Wild Rose"," 7","Caroline",N,N,"",1,530,"Reilly","","John Douglas","Liberal","Libéral",N,N,4
48027,"Wild Rose","Wild Rose"," 7","Caroline",N,N,"",1,530,"Richards","","Blake","Conservative","Conservateur",Y,Y,171
48027,"Wild Rose","Wild Rose"," 7","Caroline",N,N,"",1,530,"Vanden Broek","","Randy","CHP Canada","PHC Canada",N,N,1
