Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24029,"LaSalle--Émard","LaSalle--Émard"," 1","Montréal",N,N,"",1,407,"Banville","","Lorraine","Green Party","Parti Vert",N,N,10
24029,"LaSalle--Émard","LaSalle--Émard"," 1","Montréal",N,N,"",1,407,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,1
24029,"LaSalle--Émard","LaSalle--Émard"," 1","Montréal",N,N,"",1,407,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,41
24029,"LaSalle--Émard","LaSalle--Émard"," 1","Montréal",N,N,"",1,407,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,79
24029,"LaSalle--Émard","LaSalle--Émard"," 1","Montréal",N,N,"",1,407,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 1","Montréal",N,N,"",1,407,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,30
24029,"LaSalle--Émard","LaSalle--Émard"," 1","Montréal",N,N,"",1,407,"Zarac","","Lise","Liberal","Libéral",Y,N,48
24029,"LaSalle--Émard","LaSalle--Émard"," 2","Montréal",N,N,"",4,399,"Banville","","Lorraine","Green Party","Parti Vert",N,N,5
24029,"LaSalle--Émard","LaSalle--Émard"," 2","Montréal",N,N,"",4,399,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,1
24029,"LaSalle--Émard","LaSalle--Émard"," 2","Montréal",N,N,"",4,399,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,56
24029,"LaSalle--Émard","LaSalle--Émard"," 2","Montréal",N,N,"",4,399,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,98
24029,"LaSalle--Émard","LaSalle--Émard"," 2","Montréal",N,N,"",4,399,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 2","Montréal",N,N,"",4,399,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,10
24029,"LaSalle--Émard","LaSalle--Émard"," 2","Montréal",N,N,"",4,399,"Zarac","","Lise","Liberal","Libéral",Y,N,17
24029,"LaSalle--Émard","LaSalle--Émard"," 3","Montréal",N,N,"",1,403,"Banville","","Lorraine","Green Party","Parti Vert",N,N,4
24029,"LaSalle--Émard","LaSalle--Émard"," 3","Montréal",N,N,"",1,403,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,2
24029,"LaSalle--Émard","LaSalle--Émard"," 3","Montréal",N,N,"",1,403,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,45
24029,"LaSalle--Émard","LaSalle--Émard"," 3","Montréal",N,N,"",1,403,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,97
24029,"LaSalle--Émard","LaSalle--Émard"," 3","Montréal",N,N,"",1,403,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 3","Montréal",N,N,"",1,403,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,12
24029,"LaSalle--Émard","LaSalle--Émard"," 3","Montréal",N,N,"",1,403,"Zarac","","Lise","Liberal","Libéral",Y,N,23
24029,"LaSalle--Émard","LaSalle--Émard"," 4","Montréal",N,N,"",2,332,"Banville","","Lorraine","Green Party","Parti Vert",N,N,1
24029,"LaSalle--Émard","LaSalle--Émard"," 4","Montréal",N,N,"",2,332,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,1
24029,"LaSalle--Émard","LaSalle--Émard"," 4","Montréal",N,N,"",2,332,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,27
24029,"LaSalle--Émard","LaSalle--Émard"," 4","Montréal",N,N,"",2,332,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,48
24029,"LaSalle--Émard","LaSalle--Émard"," 4","Montréal",N,N,"",2,332,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 4","Montréal",N,N,"",2,332,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,8
24029,"LaSalle--Émard","LaSalle--Émard"," 4","Montréal",N,N,"",2,332,"Zarac","","Lise","Liberal","Libéral",Y,N,19
24029,"LaSalle--Émard","LaSalle--Émard"," 5","Montréal",N,N,"",5,459,"Banville","","Lorraine","Green Party","Parti Vert",N,N,6
24029,"LaSalle--Émard","LaSalle--Émard"," 5","Montréal",N,N,"",5,459,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,1
24029,"LaSalle--Émard","LaSalle--Émard"," 5","Montréal",N,N,"",5,459,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,59
24029,"LaSalle--Émard","LaSalle--Émard"," 5","Montréal",N,N,"",5,459,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,99
24029,"LaSalle--Émard","LaSalle--Émard"," 5","Montréal",N,N,"",5,459,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 5","Montréal",N,N,"",5,459,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,12
24029,"LaSalle--Émard","LaSalle--Émard"," 5","Montréal",N,N,"",5,459,"Zarac","","Lise","Liberal","Libéral",Y,N,26
24029,"LaSalle--Émard","LaSalle--Émard"," 6","Montréal",N,N,"",1,335,"Banville","","Lorraine","Green Party","Parti Vert",N,N,4
24029,"LaSalle--Émard","LaSalle--Émard"," 6","Montréal",N,N,"",1,335,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,1
24029,"LaSalle--Émard","LaSalle--Émard"," 6","Montréal",N,N,"",1,335,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,30
24029,"LaSalle--Émard","LaSalle--Émard"," 6","Montréal",N,N,"",1,335,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,46
24029,"LaSalle--Émard","LaSalle--Émard"," 6","Montréal",N,N,"",1,335,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 6","Montréal",N,N,"",1,335,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,11
24029,"LaSalle--Émard","LaSalle--Émard"," 6","Montréal",N,N,"",1,335,"Zarac","","Lise","Liberal","Libéral",Y,N,17
24029,"LaSalle--Émard","LaSalle--Émard"," 7","Montréal",N,N,"",0,504,"Banville","","Lorraine","Green Party","Parti Vert",N,N,2
24029,"LaSalle--Émard","LaSalle--Émard"," 7","Montréal",N,N,"",0,504,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 7","Montréal",N,N,"",0,504,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,21
24029,"LaSalle--Émard","LaSalle--Émard"," 7","Montréal",N,N,"",0,504,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,107
24029,"LaSalle--Émard","LaSalle--Émard"," 7","Montréal",N,N,"",0,504,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 7","Montréal",N,N,"",0,504,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,15
24029,"LaSalle--Émard","LaSalle--Émard"," 7","Montréal",N,N,"",0,504,"Zarac","","Lise","Liberal","Libéral",Y,N,54
24029,"LaSalle--Émard","LaSalle--Émard"," 8","Montréal",N,N,"",3,518,"Banville","","Lorraine","Green Party","Parti Vert",N,N,8
24029,"LaSalle--Émard","LaSalle--Émard"," 8","Montréal",N,N,"",3,518,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,1
24029,"LaSalle--Émard","LaSalle--Émard"," 8","Montréal",N,N,"",3,518,"Dubois","","Carl","Bloc Québécois","Bloc Québécois",N,N,29
24029,"LaSalle--Émard","LaSalle--Émard"," 8","Montréal",N,N,"",3,518,"LeBlanc","","Hélène","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,71
24029,"LaSalle--Émard","LaSalle--Émard"," 8","Montréal",N,N,"",3,518,"Le Seigle","","Yves","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24029,"LaSalle--Émard","LaSalle--Émard"," 8","Montréal",N,N,"",3,518,"Yu","","Chang-Tao Jimmy","Conservative","Conservateur",N,N,23
24029,"LaSalle--Émard","LaSalle--Émard"," 8","Montréal",N,N,"",3,518,"Zarac","","Lise","Liberal","Libéral",Y,N,47
24029,"LaSalle--Émard","LaSalle--Émard"," 9","Montréal",N,N,"",2,278,"Banville","","Lorraine","Green Party","Parti Vert",N,N,5
24029,"LaSalle--Émard","LaSalle--Émard"," 9","Montréal",N,N,"",2,278,"Berger-Richard","","Guillaume","Rhinoceros","Rhinocéros",N,N,4
