Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59002,"Burnaby--Douglas","Burnaby--Douglas"," 1","Burnaby",N,N,"",1,482,"Dahlby","","Lewis Clarke","Libertarian","Libertarien",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 1","Burnaby",N,N,"",1,482,"Gidora","","George","Communist","Communiste",N,N,1
59002,"Burnaby--Douglas","Burnaby--Douglas"," 1","Burnaby",N,N,"",1,482,"Leung","","Ronald","Conservative","Conservateur",N,N,132
59002,"Burnaby--Douglas","Burnaby--Douglas"," 1","Burnaby",N,N,"",1,482,"Low","","Ken","Liberal","Libéral",N,N,32
59002,"Burnaby--Douglas","Burnaby--Douglas"," 1","Burnaby",N,N,"",1,482,"Merlo","","Adrianne","Green Party","Parti Vert",N,N,16
59002,"Burnaby--Douglas","Burnaby--Douglas"," 1","Burnaby",N,N,"",1,482,"Sproule","","Brian","Marxist-Leninist","Marxiste-Léniniste",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 1","Burnaby",N,N,"",1,482,"Stewart","","Kennedy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,151
59002,"Burnaby--Douglas","Burnaby--Douglas"," 2","Burnaby",N,N,"",0,321,"Dahlby","","Lewis Clarke","Libertarian","Libertarien",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 2","Burnaby",N,N,"",0,321,"Gidora","","George","Communist","Communiste",N,N,2
59002,"Burnaby--Douglas","Burnaby--Douglas"," 2","Burnaby",N,N,"",0,321,"Leung","","Ronald","Conservative","Conservateur",N,N,54
59002,"Burnaby--Douglas","Burnaby--Douglas"," 2","Burnaby",N,N,"",0,321,"Low","","Ken","Liberal","Libéral",N,N,14
59002,"Burnaby--Douglas","Burnaby--Douglas"," 2","Burnaby",N,N,"",0,321,"Merlo","","Adrianne","Green Party","Parti Vert",N,N,6
59002,"Burnaby--Douglas","Burnaby--Douglas"," 2","Burnaby",N,N,"",0,321,"Sproule","","Brian","Marxist-Leninist","Marxiste-Léniniste",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 2","Burnaby",N,N,"",0,321,"Stewart","","Kennedy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,122
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3A","Burnaby",Y,N,"4",0,0,"Dahlby","","Lewis Clarke","Libertarian","Libertarien",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3A","Burnaby",Y,N,"4",0,0,"Gidora","","George","Communist","Communiste",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3A","Burnaby",Y,N,"4",0,0,"Leung","","Ronald","Conservative","Conservateur",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3A","Burnaby",Y,N,"4",0,0,"Low","","Ken","Liberal","Libéral",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3A","Burnaby",Y,N,"4",0,0,"Merlo","","Adrianne","Green Party","Parti Vert",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3A","Burnaby",Y,N,"4",0,0,"Sproule","","Brian","Marxist-Leninist","Marxiste-Léniniste",N,N,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3A","Burnaby",Y,N,"4",0,0,"Stewart","","Kennedy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,0
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3B","Burnaby",N,N,"",7,201,"Dahlby","","Lewis Clarke","Libertarian","Libertarien",N,N,5
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3B","Burnaby",N,N,"",7,201,"Gidora","","George","Communist","Communiste",N,N,2
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3B","Burnaby",N,N,"",7,201,"Leung","","Ronald","Conservative","Conservateur",N,N,56
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3B","Burnaby",N,N,"",7,201,"Low","","Ken","Liberal","Libéral",N,N,19
59002,"Burnaby--Douglas","Burnaby--Douglas"," 3B","Burnaby",N,N,"",7,201,"Merlo","","Adrianne","Green Party","Parti Vert",N,N,8
