Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,331,"Bowers","","Robert M","Independent","Indépendant(e)",N,N,1
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,331,"MacGregor","","Andrew","Green Party","Parti Vert",N,N,18
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,331,"Monsef","","Maryam","Liberal","Libéral",Y,Y,58
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,331,"Murphy","","Alexander","People's Party","Parti populaire",N,N,1
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,331,"Ranney","","Ken","Stop Climate Change","Arrêtonslechangementclimatique",N,N,0
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,331,"Shaw","","Candace","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,27
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,331,"Skinner","","Michael","Conservative","Conservateur",N,N,74
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,349,"Bowers","","Robert M","Independent","Indépendant(e)",N,N,0
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,349,"MacGregor","","Andrew","Green Party","Parti Vert",N,N,13
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,349,"Monsef","","Maryam","Liberal","Libéral",Y,Y,45
