Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Amos","","William","Liberal","Libéral",Y,Y,0
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Belec","","Mario","People's Party","Parti populaire",N,N,0
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Bertrand","","Claude","Green Party","Parti Vert",N,N,0
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Blackburn","","Dave","Conservative","Conservateur",N,N,0
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Carreiro-Benoit","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,0
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Giroux","","Denise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Lang","","Louis","ML","ML",N,N,0
24057,"Pontiac","Pontiac"," 1","Lac-Rapide",N,N,"",0,189,"Stewart","","Shawn","VCP","CAC",N,N,0
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Amos","","William","Liberal","Libéral",Y,Y,27
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Belec","","Mario","People's Party","Parti populaire",N,N,0
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Bertrand","","Claude","Green Party","Parti Vert",N,N,0
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Blackburn","","Dave","Conservative","Conservateur",N,N,9
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Carreiro-Benoit","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,61
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Giroux","","Denise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Lang","","Louis","ML","ML",N,N,0
24057,"Pontiac","Pontiac"," 2","Grand-Remous",N,N,"",1,332,"Stewart","","Shawn","VCP","CAC",N,N,0
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Amos","","William","Liberal","Libéral",Y,Y,22
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Belec","","Mario","People's Party","Parti populaire",N,N,3
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Bertrand","","Claude","Green Party","Parti Vert",N,N,4
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Blackburn","","Dave","Conservative","Conservateur",N,N,27
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Carreiro-Benoit","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,34
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Giroux","","Denise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Lang","","Louis","ML","ML",N,N,0
24057,"Pontiac","Pontiac"," 3","Grand-Remous",N,N,"",2,278,"Stewart","","Shawn","VCP","CAC",N,N,0
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Amos","","William","Liberal","Libéral",Y,Y,33
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Belec","","Mario","People's Party","Parti populaire",N,N,1
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Bertrand","","Claude","Green Party","Parti Vert",N,N,8
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Blackburn","","Dave","Conservative","Conservateur",N,N,35
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Carreiro-Benoit","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,41
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Giroux","","Denise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Lang","","Louis","ML","ML",N,N,0
24057,"Pontiac","Pontiac"," 4","Grand-Remous",N,N,"",4,375,"Stewart","","Shawn","VCP","CAC",N,N,0
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Amos","","William","Liberal","Libéral",Y,Y,47
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Belec","","Mario","People's Party","Parti populaire",N,N,1
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Bertrand","","Claude","Green Party","Parti Vert",N,N,4
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Blackburn","","Dave","Conservative","Conservateur",N,N,36
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Carreiro-Benoit","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,73
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Giroux","","Denise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Lang","","Louis","ML","ML",N,N,1
24057,"Pontiac","Pontiac"," 5","Bois-Franc",N,N,"",5,346,"Stewart","","Shawn","VCP","CAC",N,N,1
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Amos","","William","Liberal","Libéral",Y,Y,45
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Belec","","Mario","People's Party","Parti populaire",N,N,5
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Bertrand","","Claude","Green Party","Parti Vert",N,N,2
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Blackburn","","Dave","Conservative","Conservateur",N,N,33
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Carreiro-Benoit","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,44
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Giroux","","Denise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Lang","","Louis","ML","ML",N,N,2
24057,"Pontiac","Pontiac"," 6","Aumond",N,N,"",0,323,"Stewart","","Shawn","VCP","CAC",N,N,2
24057,"Pontiac","Pontiac"," 7","Aumond",N,N,"",4,299,"Amos","","William","Liberal","Libéral",Y,Y,51
24057,"Pontiac","Pontiac"," 7","Aumond",N,N,"",4,299,"Belec","","Mario","People's Party","Parti populaire",N,N,1
24057,"Pontiac","Pontiac"," 7","Aumond",N,N,"",4,299,"Bertrand","","Claude","Green Party","Parti Vert",N,N,6
24057,"Pontiac","Pontiac"," 7","Aumond",N,N,"",4,299,"Blackburn","","Dave","Conservative","Conservateur",N,N,25
24057,"Pontiac","Pontiac"," 7","Aumond",N,N,"",4,299,"Carreiro-Benoit","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,48
24057,"Pontiac","Pontiac"," 7","Aumond",N,N,"",4,299,"Giroux","","Denise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
24057,"Pontiac","Pontiac"," 7","Aumond",N,N,"",4,299,"Lang","","Louis","ML","ML",N,N,0
