Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 1","Surrey",N,N,"",0,481,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,28
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 1","Surrey",N,N,"",0,481,"Findlay","","Kerry-Lynne","Conservative","Conservateur",N,Y,115
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 1","Surrey",N,N,"",0,481,"Hobby","","Beverly Pixie","Green Party","Parti Vert",N,N,13
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 1","Surrey",N,N,"",0,481,"Hogg","","Gordie","Liberal","Libéral",Y,N,122
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 1","Surrey",N,N,"",0,481,"Poulin","","Joel","People's Party","Parti populaire",N,N,3
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 2","Surrey",N,N,"",2,575,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,51
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 2","Surrey",N,N,"",2,575,"Findlay","","Kerry-Lynne","Conservative","Conservateur",N,Y,142
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 2","Surrey",N,N,"",2,575,"Hobby","","Beverly Pixie","Green Party","Parti Vert",N,N,18
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 2","Surrey",N,N,"",2,575,"Hogg","","Gordie","Liberal","Libéral",Y,N,122
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 2","Surrey",N,N,"",2,575,"Poulin","","Joel","People's Party","Parti populaire",N,N,4
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 3","Surrey",N,N,"",2,610,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,66
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 3","Surrey",N,N,"",2,610,"Findlay","","Kerry-Lynne","Conservative","Conservateur",N,Y,106
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 3","Surrey",N,N,"",2,610,"Hobby","","Beverly Pixie","Green Party","Parti Vert",N,N,15
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 3","Surrey",N,N,"",2,610,"Hogg","","Gordie","Liberal","Libéral",Y,N,136
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 3","Surrey",N,N,"",2,610,"Poulin","","Joel","People's Party","Parti populaire",N,N,3
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 4","Surrey",N,N,"",1,444,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,36
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 4","Surrey",N,N,"",1,444,"Findlay","","Kerry-Lynne","Conservative","Conservateur",N,Y,64
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 4","Surrey",N,N,"",1,444,"Hobby","","Beverly Pixie","Green Party","Parti Vert",N,N,9
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 4","Surrey",N,N,"",1,444,"Hogg","","Gordie","Liberal","Libéral",Y,N,123
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 4","Surrey",N,N,"",1,444,"Poulin","","Joel","People's Party","Parti populaire",N,N,2
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 5","Surrey",N,N,"",1,481,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,53
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 5","Surrey",N,N,"",1,481,"Findlay","","Kerry-Lynne","Conservative","Conservateur",N,Y,71
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 5","Surrey",N,N,"",1,481,"Hobby","","Beverly Pixie","Green Party","Parti Vert",N,N,8
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 5","Surrey",N,N,"",1,481,"Hogg","","Gordie","Liberal","Libéral",Y,N,97
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 5","Surrey",N,N,"",1,481,"Poulin","","Joel","People's Party","Parti populaire",N,N,1
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 6","Surrey",N,N,"",1,417,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,29
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 6","Surrey",N,N,"",1,417,"Findlay","","Kerry-Lynne","Conservative","Conservateur",N,Y,91
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 6","Surrey",N,N,"",1,417,"Hobby","","Beverly Pixie","Green Party","Parti Vert",N,N,6
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 6","Surrey",N,N,"",1,417,"Hogg","","Gordie","Liberal","Libéral",Y,N,102
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 6","Surrey",N,N,"",1,417,"Poulin","","Joel","People's Party","Parti populaire",N,N,2
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 7","Surrey",N,N,"",1,648,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,20
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 7","Surrey",N,N,"",1,648,"Findlay","","Kerry-Lynne","Conservative","Conservateur",N,Y,75
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 7","Surrey",N,N,"",1,648,"Hobby","","Beverly Pixie","Green Party","Parti Vert",N,N,13
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 7","Surrey",N,N,"",1,648,"Hogg","","Gordie","Liberal","Libéral",Y,N,122
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 7","Surrey",N,N,"",1,648,"Poulin","","Joel","People's Party","Parti populaire",N,N,5
59030,"South Surrey--White Rock","Surrey-Sud--White Rock"," 8","Surrey",N,N,"",0,403,"Crozier","","Stephen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
