Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Batrhino","","Réal","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Bernier","","Frédérik","Green Party","Parti Vert",N,N,3
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Champoux","","Martin","Bloc Québécois","Bloc Québécois",N,Y,55
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Choquette","","François","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,N,21
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Ebacher","","Jessica","Conservative","Conservateur",N,N,44
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Morales","","William","Liberal","Libéral",N,N,18
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Munger","","Lucas","Animal Protection Party","Parti Protection Animaux",N,N,0
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"",2,274,"Paquet","","Steeve","People's Party","Parti populaire",N,N,3
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",1,312,"Batrhino","","Réal","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,2
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",1,312,"Bernier","","Frédérik","Green Party","Parti Vert",N,N,5
