Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Boykowich","","Alex","Communist","Communiste",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,32
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,76
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Khan","","Safi","Green Party","Parti Vert",N,N,2
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Mohamud","","Habiba","Liberal","Libéral",N,N,43
48015,"Edmonton Griesbach","Edmonton Griesbach"," 1","Edmonton",N,N,"",2,410,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,3
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Boykowich","","Alex","Communist","Communiste",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,67
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,150
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Khan","","Safi","Green Party","Parti Vert",N,N,3
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Mohamud","","Habiba","Liberal","Libéral",N,N,15
48015,"Edmonton Griesbach","Edmonton Griesbach"," 2","Edmonton",N,N,"",2,447,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,10
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Boykowich","","Alex","Communist","Communiste",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,39
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,126
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Khan","","Safi","Green Party","Parti Vert",N,N,9
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Mohamud","","Habiba","Liberal","Libéral",N,N,25
48015,"Edmonton Griesbach","Edmonton Griesbach"," 3","Edmonton",N,N,"",0,372,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,9
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Boykowich","","Alex","Communist","Communiste",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,41
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,134
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Joyce","","Mary","ML","ML",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Khan","","Safi","Green Party","Parti Vert",N,N,4
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Mohamud","","Habiba","Liberal","Libéral",N,N,18
48015,"Edmonton Griesbach","Edmonton Griesbach"," 4","Edmonton",N,N,"",1,407,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,4
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Boykowich","","Alex","Communist","Communiste",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,65
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,110
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Khan","","Safi","Green Party","Parti Vert",N,N,4
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Mohamud","","Habiba","Liberal","Libéral",N,N,21
48015,"Edmonton Griesbach","Edmonton Griesbach"," 5","Edmonton",N,N,"",1,408,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,4
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Boykowich","","Alex","Communist","Communiste",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,57
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,141
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Khan","","Safi","Green Party","Parti Vert",N,N,5
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Mohamud","","Habiba","Liberal","Libéral",N,N,23
48015,"Edmonton Griesbach","Edmonton Griesbach"," 6","Edmonton",N,N,"",4,492,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,11
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Boykowich","","Alex","Communist","Communiste",N,N,3
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,47
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,125
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Khan","","Safi","Green Party","Parti Vert",N,N,9
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Mohamud","","Habiba","Liberal","Libéral",N,N,49
48015,"Edmonton Griesbach","Edmonton Griesbach"," 7","Edmonton",N,N,"",0,513,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,10
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Boykowich","","Alex","Communist","Communiste",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,75
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,108
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Khan","","Safi","Green Party","Parti Vert",N,N,7
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Mohamud","","Habiba","Liberal","Libéral",N,N,33
48015,"Edmonton Griesbach","Edmonton Griesbach"," 8","Edmonton",N,N,"",0,535,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,7
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Boykowich","","Alex","Communist","Communiste",N,N,2
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,108
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,249
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Khan","","Safi","Green Party","Parti Vert",N,N,7
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Mohamud","","Habiba","Liberal","Libéral",N,N,111
48015,"Edmonton Griesbach","Edmonton Griesbach"," 9","Edmonton",N,N,"",2,889,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,7
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Boykowich","","Alex","Communist","Communiste",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,83
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,142
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Khan","","Safi","Green Party","Parti Vert",N,N,5
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Mohamud","","Habiba","Liberal","Libéral",N,N,43
48015,"Edmonton Griesbach","Edmonton Griesbach"," 10","Edmonton",N,N,"",1,485,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,8
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Boykowich","","Alex","Communist","Communiste",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Cherrington","","Mark","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,84
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Diotte","","Kerry","Conservative","Conservateur",Y,Y,186
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Gudanowski","","Andrzej","Independent","Indépendant(e)",N,N,2
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Joyce","","Mary","ML","ML",N,N,0
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Khan","","Safi","Green Party","Parti Vert",N,N,6
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Mohamud","","Habiba","Liberal","Libéral",N,N,45
48015,"Edmonton Griesbach","Edmonton Griesbach"," 11","Edmonton",N,N,"",0,602,"Nichols","","Barbara Ellen","People's Party","Parti populaire",N,N,4
48015,"Edmonton Griesbach","Edmonton Griesbach"," 12","Edmonton",N,N,"",2,713,"Alva Armas","","Christine","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
