Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 1","Lac Brochet",N,N,"",3,405,"Ashton","","Niki","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,132
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 1","Lac Brochet",N,N,"",3,405,"Bird","","Cyara","Conservative","Conservateur",N,N,4
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 1","Lac Brochet",N,N,"",3,405,"Klassen","","Judy","Liberal","Libéral",N,N,40
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 1","Lac Brochet",N,N,"",3,405,"Klyne","","Ken","People's Party","Parti populaire",N,N,0
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 1","Lac Brochet",N,N,"",3,405,"McLean","","Ralph","Green Party","Parti Vert",N,N,1
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 2","Tadoule Lake",N,N,"",2,153,"Ashton","","Niki","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,45
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 2","Tadoule Lake",N,N,"",2,153,"Bird","","Cyara","Conservative","Conservateur",N,N,2
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 2","Tadoule Lake",N,N,"",2,153,"Klassen","","Judy","Liberal","Libéral",N,N,12
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 2","Tadoule Lake",N,N,"",2,153,"Klyne","","Ken","People's Party","Parti populaire",N,N,0
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 2","Tadoule Lake",N,N,"",2,153,"McLean","","Ralph","Green Party","Parti Vert",N,N,1
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 3","Churchill",N,N,"",2,297,"Ashton","","Niki","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,121
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 3","Churchill",N,N,"",2,297,"Bird","","Cyara","Conservative","Conservateur",N,N,20
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 3","Churchill",N,N,"",2,297,"Klassen","","Judy","Liberal","Libéral",N,N,41
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 3","Churchill",N,N,"",2,297,"Klyne","","Ken","People's Party","Parti populaire",N,N,5
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 3","Churchill",N,N,"",2,297,"McLean","","Ralph","Green Party","Parti Vert",N,N,11
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 4","Churchill",N,N,"",0,332,"Ashton","","Niki","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,107
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 4","Churchill",N,N,"",0,332,"Bird","","Cyara","Conservative","Conservateur",N,N,17
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 4","Churchill",N,N,"",0,332,"Klassen","","Judy","Liberal","Libéral",N,N,36
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 4","Churchill",N,N,"",0,332,"Klyne","","Ken","People's Party","Parti populaire",N,N,1
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 4","Churchill",N,N,"",0,332,"McLean","","Ralph","Green Party","Parti Vert",N,N,8
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 5","Brochet",N,N,"",1,298,"Ashton","","Niki","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,67
46003,"Churchill--Keewatinook Aski","Churchill--Keewatinook Aski"," 5","Brochet",N,N,"",1,298,"Bird","","Cyara","Conservative","Conservateur",N,N,8
