Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24068,"Saint-Laurent","Saint-Laurent"," 1","Saint-Laurent",N,N,"",3,584,"Boutet","","Ginette","ML","ML",N,N,1
24068,"Saint-Laurent","Saint-Laurent"," 1","Saint-Laurent",N,N,"",3,584,"Gallo","","Miranda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
24068,"Saint-Laurent","Saint-Laurent"," 1","Saint-Laurent",N,N,"",3,584,"Kokotsis","","Georgia","Green Party","Parti Vert",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 1","Saint-Laurent",N,N,"",3,584,"Lambropoulos","","Emmanuella","Liberal","Libéral",Y,Y,172
24068,"Saint-Laurent","Saint-Laurent"," 1","Saint-Laurent",N,N,"",3,584,"Mikus","","Christopher","People's Party","Parti populaire",N,N,2
24068,"Saint-Laurent","Saint-Laurent"," 1","Saint-Laurent",N,N,"",3,584,"Miljours","","Thérèse","Bloc Québécois","Bloc Québécois",N,N,5
24068,"Saint-Laurent","Saint-Laurent"," 1","Saint-Laurent",N,N,"",3,584,"Serour","","Richard","Conservative","Conservateur",N,N,13
24068,"Saint-Laurent","Saint-Laurent"," 2","Saint-Laurent",N,N,"",7,494,"Boutet","","Ginette","ML","ML",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 2","Saint-Laurent",N,N,"",7,494,"Gallo","","Miranda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
24068,"Saint-Laurent","Saint-Laurent"," 2","Saint-Laurent",N,N,"",7,494,"Kokotsis","","Georgia","Green Party","Parti Vert",N,N,5
24068,"Saint-Laurent","Saint-Laurent"," 2","Saint-Laurent",N,N,"",7,494,"Lambropoulos","","Emmanuella","Liberal","Libéral",Y,Y,159
24068,"Saint-Laurent","Saint-Laurent"," 2","Saint-Laurent",N,N,"",7,494,"Mikus","","Christopher","People's Party","Parti populaire",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 2","Saint-Laurent",N,N,"",7,494,"Miljours","","Thérèse","Bloc Québécois","Bloc Québécois",N,N,12
24068,"Saint-Laurent","Saint-Laurent"," 2","Saint-Laurent",N,N,"",7,494,"Serour","","Richard","Conservative","Conservateur",N,N,20
24068,"Saint-Laurent","Saint-Laurent"," 3","Saint-Laurent",N,N,"",5,366,"Boutet","","Ginette","ML","ML",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 3","Saint-Laurent",N,N,"",5,366,"Gallo","","Miranda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
24068,"Saint-Laurent","Saint-Laurent"," 3","Saint-Laurent",N,N,"",5,366,"Kokotsis","","Georgia","Green Party","Parti Vert",N,N,7
