Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24007,"Beauce","Beauce"," 1","Saint-Isidore",N,N,"",1,384,"Bernier","","Maxime","People's Party","Parti populaire",Y,N,46
24007,"Beauce","Beauce"," 1","Saint-Isidore",N,N,"",1,384,"Bernier","","Maxime","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,3
24007,"Beauce","Beauce"," 1","Saint-Isidore",N,N,"",1,384,"Fortin","","Josiane","Green Party","Parti Vert",N,N,5
24007,"Beauce","Beauce"," 1","Saint-Isidore",N,N,"",1,384,"Jacques-Côté","","François","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,8
24007,"Beauce","Beauce"," 1","Saint-Isidore",N,N,"",1,384,"Lehoux","","Richard","Conservative","Conservateur",N,Y,130
24007,"Beauce","Beauce"," 1","Saint-Isidore",N,N,"",1,384,"Rodrigue","","Guillaume","Bloc Québécois","Bloc Québécois",N,N,31
24007,"Beauce","Beauce"," 1","Saint-Isidore",N,N,"",1,384,"Veilleux","","Adam","Liberal","Libéral",N,N,26
24007,"Beauce","Beauce"," 2","Saint-Isidore",N,N,"",7,332,"Bernier","","Maxime","People's Party","Parti populaire",Y,N,38
24007,"Beauce","Beauce"," 2","Saint-Isidore",N,N,"",7,332,"Bernier","","Maxime","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,6
24007,"Beauce","Beauce"," 2","Saint-Isidore",N,N,"",7,332,"Fortin","","Josiane","Green Party","Parti Vert",N,N,10
24007,"Beauce","Beauce"," 2","Saint-Isidore",N,N,"",7,332,"Jacques-Côté","","François","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
24007,"Beauce","Beauce"," 2","Saint-Isidore",N,N,"",7,332,"Lehoux","","Richard","Conservative","Conservateur",N,Y,101
24007,"Beauce","Beauce"," 2","Saint-Isidore",N,N,"",7,332,"Rodrigue","","Guillaume","Bloc Québécois","Bloc Québécois",N,N,25
24007,"Beauce","Beauce"," 2","Saint-Isidore",N,N,"",7,332,"Veilleux","","Adam","Liberal","Libéral",N,N,27
24007,"Beauce","Beauce"," 3","Saint-Isidore",N,N,"",2,368,"Bernier","","Maxime","People's Party","Parti populaire",Y,N,32
24007,"Beauce","Beauce"," 3","Saint-Isidore",N,N,"",2,368,"Bernier","","Maxime","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,3
24007,"Beauce","Beauce"," 3","Saint-Isidore",N,N,"",2,368,"Fortin","","Josiane","Green Party","Parti Vert",N,N,7
