Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",N,N,"",0,488,"Eyolfson","","Doug","Liberal","Libéral",Y,N,82
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",N,N,"",0,488,"Fletcher","","Steven","People's Party","Parti populaire",N,N,16
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",N,N,"",0,488,"Ho","","Brian","Independent","Indépendant(e)",N,N,0
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",N,N,"",0,488,"Lauhn-Jensen","","Kristin","Green Party","Parti Vert",N,N,12
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",N,N,"",0,488,"Morantz","","Marty","Conservative","Conservateur",N,Y,93
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",N,N,"",0,488,"Penner","","Melissa","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,3
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",N,N,"",0,488,"St. George","","Ken","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,30
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 2","Winnipeg",N,N,"",0,429,"Eyolfson","","Doug","Liberal","Libéral",Y,N,54
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 2","Winnipeg",N,N,"",0,429,"Fletcher","","Steven","People's Party","Parti populaire",N,N,18
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 2","Winnipeg",N,N,"",0,429,"Ho","","Brian","Independent","Indépendant(e)",N,N,0
46002,"Charleswood--St. James--Assiniboia--Headingley","Charleswood--St. James--Assiniboia--Headingley"," 2","Winnipeg",N,N,"",0,429,"Lauhn-Jensen","","Kristin","Green Party","Parti Vert",N,N,11
