Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 1","Riley Brook",N,N,"",0,130,"Bragdon","","Richard","Conservative","Conservateur",N,N,50
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 1","Riley Brook",N,N,"",0,130,"Harvey","","TJ","Liberal","Libéral",N,Y,29
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 1","Riley Brook",N,N,"",0,130,"Kitchen","","Robert","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 1","Riley Brook",N,N,"",0,130,"Wishart","","Terry","Green Party","Parti Vert",N,N,2
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 2","New Denmark",N,N,"",0,338,"Bragdon","","Richard","Conservative","Conservateur",N,N,47
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 2","New Denmark",N,N,"",0,338,"Harvey","","TJ","Liberal","Libéral",N,Y,106
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 2","New Denmark",N,N,"",0,338,"Kitchen","","Robert","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,28
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 2","New Denmark",N,N,"",0,338,"Wishart","","Terry","Green Party","Parti Vert",N,N,10
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 3","Salmonhurst Corner",N,N,"",1,377,"Bragdon","","Richard","Conservative","Conservateur",N,N,61
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 3","Salmonhurst Corner",N,N,"",1,377,"Harvey","","TJ","Liberal","Libéral",N,Y,97
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 3","Salmonhurst Corner",N,N,"",1,377,"Kitchen","","Robert","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
13010,"Tobique--Mactaquac","Tobique--Mactaquac"," 3","Salmonhurst Corner",N,N,"",1,377,"Wishart","","Terry","Green Party","Parti Vert",N,N,7
