Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 1","Floradale",N,N,"",0,327,"Albrecht","","Harold","Conservative","Conservateur",Y,Y,79
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 1","Floradale",N,N,"",0,327,"Hodgson","","Richard","Libertarian","Libertarien",N,N,1
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 1","Floradale",N,N,"",0,327,"Jonkman","","Bob","Green Party","Parti Vert",N,N,6
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 1","Floradale",N,N,"",0,327,"Louis","","Tim","Liberal","Libéral",N,N,34
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 1","Floradale",N,N,"",0,327,"Villeneuve","","James","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 2","Woolwich",N,N,"",3,296,"Albrecht","","Harold","Conservative","Conservateur",Y,Y,68
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 2","Woolwich",N,N,"",3,296,"Hodgson","","Richard","Libertarian","Libertarien",N,N,1
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 2","Woolwich",N,N,"",3,296,"Jonkman","","Bob","Green Party","Parti Vert",N,N,0
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 2","Woolwich",N,N,"",3,296,"Louis","","Tim","Liberal","Libéral",N,N,26
35046,"Kitchener--Conestoga","Kitchener--Conestoga"," 2","Woolwich",N,N,"",3,296,"Villeneuve","","James","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
