Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 1","Saint-Adolphe-d'Howard",N,N,"",4,430,"Beauchamp","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,70
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 1","Saint-Adolphe-d'Howard",N,N,"",4,430,"Crête","","Chantal","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,52
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 1","Saint-Adolphe-d'Howard",N,N,"",4,430,"Hupé-Labelle","","Maxime","Conservative","Conservateur",N,N,8
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 1","Saint-Adolphe-d'Howard",N,N,"",4,430,"Lamarche","","Audrey","Green Party","Parti Vert",N,N,4
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 1","Saint-Adolphe-d'Howard",N,N,"",4,430,"Lauzon","","Stéphane","Liberal","Libéral",N,Y,58
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 2","Saint-Adolphe-d'Howard",N,N,"",1,256,"Beauchamp","","Jonathan","Bloc Québécois","Bloc Québécois",N,N,21
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 2","Saint-Adolphe-d'Howard",N,N,"",1,256,"Crête","","Chantal","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,25
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 2","Saint-Adolphe-d'Howard",N,N,"",1,256,"Hupé-Labelle","","Maxime","Conservative","Conservateur",N,N,11
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 2","Saint-Adolphe-d'Howard",N,N,"",1,256,"Lamarche","","Audrey","Green Party","Parti Vert",N,N,1
24005,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation"," 2","Saint-Adolphe-d'Howard",N,N,"",1,256,"Lauzon","","Stéphane","Liberal","Libéral",N,Y,59
