Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 1","Indian Arm",N,N,"",0,399,"Adcock","","Jessie","Liberal","Libéral",N,N,81
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 1","Indian Arm",N,N,"",0,399,"Donnelly","","Fin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,48
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 1","Indian Arm",N,N,"",0,399,"Laidler","","Tim","Conservative","Conservateur",N,N,81
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 1","Indian Arm",N,N,"",0,399,"Madsen","","Marcus","Green Party","Parti Vert",N,N,8
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 1","Indian Arm",N,N,"",0,399,"Verrier","","Roland","Marxist-Leninist","Marxiste-Léniniste",N,N,1
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 2","Anmore",N,N,"",0,344,"Adcock","","Jessie","Liberal","Libéral",N,N,62
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 2","Anmore",N,N,"",0,344,"Donnelly","","Fin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,36
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 2","Anmore",N,N,"",0,344,"Laidler","","Tim","Conservative","Conservateur",N,N,83
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 2","Anmore",N,N,"",0,344,"Madsen","","Marcus","Green Party","Parti Vert",N,N,9
59023,"Port Moody--Coquitlam","Port Moody--Coquitlam"," 2","Anmore",N,N,"",0,344,"Verrier","","Roland","Marxist-Leninist","Marxiste-Léniniste",N,N,0
