Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",0,427,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,56
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",0,427,"Morneau","","Bill","Liberal","Libéral",N,Y,131
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",0,427,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",0,373,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",0,373,"Biggin","","Colin","Green Party","Parti Vert",N,N,6
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",0,373,"Di Battista","","Julian","Conservative","Conservateur",N,N,22
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",0,373,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",0,373,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",0,373,"Morneau","","Bill","Liberal","Libéral",N,Y,105
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",0,373,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 6","Toronto",N,N,"",0,390,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 6","Toronto",N,N,"",0,390,"Biggin","","Colin","Green Party","Parti Vert",N,N,5
35108,"Toronto Centre","Toronto-Centre"," 6","Toronto",N,N,"",0,390,"Di Battista","","Julian","Conservative","Conservateur",N,N,32
35108,"Toronto Centre","Toronto-Centre"," 6","Toronto",N,N,"",0,390,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 6","Toronto",N,N,"",0,390,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,46
35108,"Toronto Centre","Toronto-Centre"," 6","Toronto",N,N,"",0,390,"Morneau","","Bill","Liberal","Libéral",N,Y,139
35108,"Toronto Centre","Toronto-Centre"," 6","Toronto",N,N,"",0,390,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 7","Toronto",N,N,"",1,401,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 7","Toronto",N,N,"",1,401,"Biggin","","Colin","Green Party","Parti Vert",N,N,9
35108,"Toronto Centre","Toronto-Centre"," 7","Toronto",N,N,"",1,401,"Di Battista","","Julian","Conservative","Conservateur",N,N,32
35108,"Toronto Centre","Toronto-Centre"," 7","Toronto",N,N,"",1,401,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 7","Toronto",N,N,"",1,401,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,58
35108,"Toronto Centre","Toronto-Centre"," 7","Toronto",N,N,"",1,401,"Morneau","","Bill","Liberal","Libéral",N,Y,115
35108,"Toronto Centre","Toronto-Centre"," 7","Toronto",N,N,"",1,401,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 8","Toronto",N,N,"",1,397,"Ahmad","","Mariam","Communist","Communiste",N,N,0
