Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
11003,"Egmont","Egmont"," 1","Seacow Pond",N,N,"",3,310,"Guergis","","Edward","Conservative","Conservateur",N,N,53
11003,"Egmont","Egmont"," 1","Seacow Pond",N,N,"",3,310,"Matsusaki","","Ron","Green Party","Parti Vert",N,N,18
11003,"Egmont","Egmont"," 1","Seacow Pond",N,N,"",3,310,"McGuire","","Joe","Liberal","Libéral",Y,Y,81
11003,"Egmont","Egmont"," 1","Seacow Pond",N,N,"",3,310,"Nesbitt","","Michael","Independent","Indépendant",N,N,2
11003,"Egmont","Egmont"," 1","Seacow Pond",N,N,"",3,310,"Russell","","Regena Kaye","N.D.P.","N.P.D.",N,N,6
11003,"Egmont","Egmont"," 2","Nail Pond",N,N,"",0,464,"Guergis","","Edward","Conservative","Conservateur",N,N,73
11003,"Egmont","Egmont"," 2","Nail Pond",N,N,"",0,464,"Matsusaki","","Ron","Green Party","Parti Vert",N,N,15
11003,"Egmont","Egmont"," 2","Nail Pond",N,N,"",0,464,"McGuire","","Joe","Liberal","Libéral",Y,Y,151
11003,"Egmont","Egmont"," 2","Nail Pond",N,N,"",0,464,"Nesbitt","","Michael","Independent","Indépendant",N,N,4
11003,"Egmont","Egmont"," 2","Nail Pond",N,N,"",0,464,"Russell","","Regena Kaye","N.D.P.","N.P.D.",N,N,5
11003,"Egmont","Egmont"," 3","Judes Point",N,N,"",0,291,"Guergis","","Edward","Conservative","Conservateur",N,N,52
11003,"Egmont","Egmont"," 3","Judes Point",N,N,"",0,291,"Matsusaki","","Ron","Green Party","Parti Vert",N,N,24
11003,"Egmont","Egmont"," 3","Judes Point",N,N,"",0,291,"McGuire","","Joe","Liberal","Libéral",Y,Y,98
11003,"Egmont","Egmont"," 3","Judes Point",N,N,"",0,291,"Nesbitt","","Michael","Independent","Indépendant",N,N,0
11003,"Egmont","Egmont"," 3","Judes Point",N,N,"",0,291,"Russell","","Regena Kaye","N.D.P.","N.P.D.",N,N,8
11003,"Egmont","Egmont"," 4","Tignish Central",N,N,"",0,302,"Guergis","","Edward","Conservative","Conservateur",N,N,54
11003,"Egmont","Egmont"," 4","Tignish Central",N,N,"",0,302,"Matsusaki","","Ron","Green Party","Parti Vert",N,N,18
11003,"Egmont","Egmont"," 4","Tignish Central",N,N,"",0,302,"McGuire","","Joe","Liberal","Libéral",Y,Y,96
11003,"Egmont","Egmont"," 4","Tignish Central",N,N,"",0,302,"Nesbitt","","Michael","Independent","Indépendant",N,N,5
11003,"Egmont","Egmont"," 4","Tignish Central",N,N,"",0,302,"Russell","","Regena Kaye","N.D.P.","N.P.D.",N,N,15
11003,"Egmont","Egmont"," 5","Tignish South",N,N,"",3,188,"Guergis","","Edward","Conservative","Conservateur",N,N,43
11003,"Egmont","Egmont"," 5","Tignish South",N,N,"",3,188,"Matsusaki","","Ron","Green Party","Parti Vert",N,N,13
11003,"Egmont","Egmont"," 5","Tignish South",N,N,"",3,188,"McGuire","","Joe","Liberal","Libéral",Y,Y,50
11003,"Egmont","Egmont"," 5","Tignish South",N,N,"",3,188,"Nesbitt","","Michael","Independent","Indépendant",N,N,0
