Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24043,"Montcalm","Montcalm"," 1","Saint-Calixte",N,N,"",0,375,"Fortin","","Luc","Liberal","Libéral",N,N,13
24043,"Montcalm","Montcalm"," 1","Saint-Calixte",N,N,"",0,375,"Gaudet","","Roger","Bloc Québécois","Bloc Québécois",Y,Y,128
24043,"Montcalm","Montcalm"," 1","Saint-Calixte",N,N,"",0,375,"Gorchinsky","","Wendy","Green Party","Parti Vert",N,N,6
24043,"Montcalm","Montcalm"," 1","Saint-Calixte",N,N,"",0,375,"Leclerc","","Nancy","N.D.P.","N.P.D.",N,N,7
24043,"Montcalm","Montcalm"," 1","Saint-Calixte",N,N,"",0,375,"Paulette","","Michel","Conservative","Conservateur",N,N,18
24043,"Montcalm","Montcalm"," 2","Saint-Calixte",N,N,"",1,383,"Fortin","","Luc","Liberal","Libéral",N,N,6
24043,"Montcalm","Montcalm"," 2","Saint-Calixte",N,N,"",1,383,"Gaudet","","Roger","Bloc Québécois","Bloc Québécois",Y,Y,117
24043,"Montcalm","Montcalm"," 2","Saint-Calixte",N,N,"",1,383,"Gorchinsky","","Wendy","Green Party","Parti Vert",N,N,5
24043,"Montcalm","Montcalm"," 2","Saint-Calixte",N,N,"",1,383,"Leclerc","","Nancy","N.D.P.","N.P.D.",N,N,8
24043,"Montcalm","Montcalm"," 2","Saint-Calixte",N,N,"",1,383,"Paulette","","Michel","Conservative","Conservateur",N,N,24
24043,"Montcalm","Montcalm"," 3","Saint-Calixte",N,N,"",0,484,"Fortin","","Luc","Liberal","Libéral",N,N,25
