Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48026,"Wetaskiwin","Wetaskiwin"," 1","Berrymoor",N,N,"",0,273,"Calkins","","Blaine","Conservative","Conservateur",N,Y,155
48026,"Wetaskiwin","Wetaskiwin"," 1","Berrymoor",N,N,"",0,273,"Crossley","","Peter","Liberal","Libéral",N,N,3
48026,"Wetaskiwin","Wetaskiwin"," 1","Berrymoor",N,N,"",0,273,"Graves","","Jim","N.D.P.","N.P.D.",N,N,8
48026,"Wetaskiwin","Wetaskiwin"," 1","Berrymoor",N,N,"",0,273,"Lampman","","Tom","Green Party","Parti Vert",N,N,9
48026,"Wetaskiwin","Wetaskiwin"," 2","Lindale",N,N,"",1,267,"Calkins","","Blaine","Conservative","Conservateur",N,Y,131
48026,"Wetaskiwin","Wetaskiwin"," 2","Lindale",N,N,"",1,267,"Crossley","","Peter","Liberal","Libéral",N,N,9
48026,"Wetaskiwin","Wetaskiwin"," 2","Lindale",N,N,"",1,267,"Graves","","Jim","N.D.P.","N.P.D.",N,N,20
48026,"Wetaskiwin","Wetaskiwin"," 2","Lindale",N,N,"",1,267,"Lampman","","Tom","Green Party","Parti Vert",N,N,12
48026,"Wetaskiwin","Wetaskiwin"," 3","Genesee",N,N,"",0,259,"Calkins","","Blaine","Conservative","Conservateur",N,Y,135
48026,"Wetaskiwin","Wetaskiwin"," 3","Genesee",N,N,"",0,259,"Crossley","","Peter","Liberal","Libéral",N,N,8
48026,"Wetaskiwin","Wetaskiwin"," 3","Genesee",N,N,"",0,259,"Graves","","Jim","N.D.P.","N.P.D.",N,N,11
48026,"Wetaskiwin","Wetaskiwin"," 3","Genesee",N,N,"",0,259,"Lampman","","Tom","Green Party","Parti Vert",N,N,15
48026,"Wetaskiwin","Wetaskiwin"," 4","Buck Creek",N,N,"",0,342,"Calkins","","Blaine","Conservative","Conservateur",N,Y,196
48026,"Wetaskiwin","Wetaskiwin"," 4","Buck Creek",N,N,"",0,342,"Crossley","","Peter","Liberal","Libéral",N,N,7
48026,"Wetaskiwin","Wetaskiwin"," 4","Buck Creek",N,N,"",0,342,"Graves","","Jim","N.D.P.","N.P.D.",N,N,19
48026,"Wetaskiwin","Wetaskiwin"," 4","Buck Creek",N,N,"",0,342,"Lampman","","Tom","Green Party","Parti Vert",N,N,8
48026,"Wetaskiwin","Wetaskiwin"," 5","Carnwood Hall",N,N,"",0,232,"Calkins","","Blaine","Conservative","Conservateur",N,Y,113
48026,"Wetaskiwin","Wetaskiwin"," 5","Carnwood Hall",N,N,"",0,232,"Crossley","","Peter","Liberal","Libéral",N,N,7
48026,"Wetaskiwin","Wetaskiwin"," 5","Carnwood Hall",N,N,"",0,232,"Graves","","Jim","N.D.P.","N.P.D.",N,N,9
48026,"Wetaskiwin","Wetaskiwin"," 5","Carnwood Hall",N,N,"",0,232,"Lampman","","Tom","Green Party","Parti Vert",N,N,9
48026,"Wetaskiwin","Wetaskiwin"," 6","Alsike",N,N,"",0,201,"Calkins","","Blaine","Conservative","Conservateur",N,Y,118
48026,"Wetaskiwin","Wetaskiwin"," 6","Alsike",N,N,"",0,201,"Crossley","","Peter","Liberal","Libéral",N,N,6
48026,"Wetaskiwin","Wetaskiwin"," 6","Alsike",N,N,"",0,201,"Graves","","Jim","N.D.P.","N.P.D.",N,N,9
48026,"Wetaskiwin","Wetaskiwin"," 6","Alsike",N,N,"",0,201,"Lampman","","Tom","Green Party","Parti Vert",N,N,7
48026,"Wetaskiwin","Wetaskiwin"," 7","Warburg",N,N,"",0,337,"Calkins","","Blaine","Conservative","Conservateur",N,Y,148
48026,"Wetaskiwin","Wetaskiwin"," 7","Warburg",N,N,"",0,337,"Crossley","","Peter","Liberal","Libéral",N,N,7
48026,"Wetaskiwin","Wetaskiwin"," 7","Warburg",N,N,"",0,337,"Graves","","Jim","N.D.P.","N.P.D.",N,N,20
48026,"Wetaskiwin","Wetaskiwin"," 7","Warburg",N,N,"",0,337,"Lampman","","Tom","Green Party","Parti Vert",N,N,10
48026,"Wetaskiwin","Wetaskiwin"," 8","Warburg",N,N,"",0,518,"Calkins","","Blaine","Conservative","Conservateur",N,Y,207
48026,"Wetaskiwin","Wetaskiwin"," 8","Warburg",N,N,"",0,518,"Crossley","","Peter","Liberal","Libéral",N,N,16
48026,"Wetaskiwin","Wetaskiwin"," 8","Warburg",N,N,"",0,518,"Graves","","Jim","N.D.P.","N.P.D.",N,N,19
48026,"Wetaskiwin","Wetaskiwin"," 8","Warburg",N,N,"",0,518,"Lampman","","Tom","Green Party","Parti Vert",N,N,18
48026,"Wetaskiwin","Wetaskiwin"," 9","Breton",N,N,"",0,322,"Calkins","","Blaine","Conservative","Conservateur",N,Y,163
48026,"Wetaskiwin","Wetaskiwin"," 9","Breton",N,N,"",0,322,"Crossley","","Peter","Liberal","Libéral",N,N,13
48026,"Wetaskiwin","Wetaskiwin"," 9","Breton",N,N,"",0,322,"Graves","","Jim","N.D.P.","N.P.D.",N,N,12
48026,"Wetaskiwin","Wetaskiwin"," 9","Breton",N,N,"",0,322,"Lampman","","Tom","Green Party","Parti Vert",N,N,15
48026,"Wetaskiwin","Wetaskiwin"," 10","Breton",N,N,"",0,552,"Calkins","","Blaine","Conservative","Conservateur",N,Y,187
48026,"Wetaskiwin","Wetaskiwin"," 10","Breton",N,N,"",0,552,"Crossley","","Peter","Liberal","Libéral",N,N,11
48026,"Wetaskiwin","Wetaskiwin"," 10","Breton",N,N,"",0,552,"Graves","","Jim","N.D.P.","N.P.D.",N,N,31
48026,"Wetaskiwin","Wetaskiwin"," 10","Breton",N,N,"",0,552,"Lampman","","Tom","Green Party","Parti Vert",N,N,6
48026,"Wetaskiwin","Wetaskiwin"," 11","Alder Flats",N,N,"",1,439,"Calkins","","Blaine","Conservative","Conservateur",N,Y,220
48026,"Wetaskiwin","Wetaskiwin"," 11","Alder Flats",N,N,"",1,439,"Crossley","","Peter","Liberal","Libéral",N,N,18
48026,"Wetaskiwin","Wetaskiwin"," 11","Alder Flats",N,N,"",1,439,"Graves","","Jim","N.D.P.","N.P.D.",N,N,23
48026,"Wetaskiwin","Wetaskiwin"," 11","Alder Flats",N,N,"",1,439,"Lampman","","Tom","Green Party","Parti Vert",N,N,26
48026,"Wetaskiwin","Wetaskiwin"," 12","Buck Lake",N,N,"",1,424,"Calkins","","Blaine","Conservative","Conservateur",N,Y,225
48026,"Wetaskiwin","Wetaskiwin"," 12","Buck Lake",N,N,"",1,424,"Crossley","","Peter","Liberal","Libéral",N,N,13
48026,"Wetaskiwin","Wetaskiwin"," 12","Buck Lake",N,N,"",1,424,"Graves","","Jim","N.D.P.","N.P.D.",N,N,22
48026,"Wetaskiwin","Wetaskiwin"," 12","Buck Lake",N,N,"",1,424,"Lampman","","Tom","Green Party","Parti Vert",N,N,19
48026,"Wetaskiwin","Wetaskiwin"," 13","Pendryl",N,N,"",0,437,"Calkins","","Blaine","Conservative","Conservateur",N,Y,194
48026,"Wetaskiwin","Wetaskiwin"," 13","Pendryl",N,N,"",0,437,"Crossley","","Peter","Liberal","Libéral",N,N,17
48026,"Wetaskiwin","Wetaskiwin"," 13","Pendryl",N,N,"",0,437,"Graves","","Jim","N.D.P.","N.P.D.",N,N,35
48026,"Wetaskiwin","Wetaskiwin"," 13","Pendryl",N,N,"",0,437,"Lampman","","Tom","Green Party","Parti Vert",N,N,35
48026,"Wetaskiwin","Wetaskiwin"," 14","Yeoford",N,N,"",0,186,"Calkins","","Blaine","Conservative","Conservateur",N,Y,93
48026,"Wetaskiwin","Wetaskiwin"," 14","Yeoford",N,N,"",0,186,"Crossley","","Peter","Liberal","Libéral",N,N,2
48026,"Wetaskiwin","Wetaskiwin"," 14","Yeoford",N,N,"",0,186,"Graves","","Jim","N.D.P.","N.P.D.",N,N,10
48026,"Wetaskiwin","Wetaskiwin"," 14","Yeoford",N,N,"",0,186,"Lampman","","Tom","Green Party","Parti Vert",N,N,19
48026,"Wetaskiwin","Wetaskiwin"," 15","Winfield",N,N,"",2,322,"Calkins","","Blaine","Conservative","Conservateur",N,Y,131
48026,"Wetaskiwin","Wetaskiwin"," 15","Winfield",N,N,"",2,322,"Crossley","","Peter","Liberal","Libéral",N,N,12
48026,"Wetaskiwin","Wetaskiwin"," 15","Winfield",N,N,"",2,322,"Graves","","Jim","N.D.P.","N.P.D.",N,N,20
48026,"Wetaskiwin","Wetaskiwin"," 15","Winfield",N,N,"",2,322,"Lampman","","Tom","Green Party","Parti Vert",N,N,21
48026,"Wetaskiwin","Wetaskiwin"," 16","Mission Beach",N,N,"",0,258,"Calkins","","Blaine","Conservative","Conservateur",N,Y,152
48026,"Wetaskiwin","Wetaskiwin"," 16","Mission Beach",N,N,"",0,258,"Crossley","","Peter","Liberal","Libéral",N,N,7
48026,"Wetaskiwin","Wetaskiwin"," 16","Mission Beach",N,N,"",0,258,"Graves","","Jim","N.D.P.","N.P.D.",N,N,16
48026,"Wetaskiwin","Wetaskiwin"," 16","Mission Beach",N,N,"",0,258,"Lampman","","Tom","Green Party","Parti Vert",N,N,12
48026,"Wetaskiwin","Wetaskiwin"," 17","Sunnybrook",N,N,"",0,365,"Calkins","","Blaine","Conservative","Conservateur",N,Y,181
48026,"Wetaskiwin","Wetaskiwin"," 17","Sunnybrook",N,N,"",0,365,"Crossley","","Peter","Liberal","Libéral",N,N,13
48026,"Wetaskiwin","Wetaskiwin"," 17","Sunnybrook",N,N,"",0,365,"Graves","","Jim","N.D.P.","N.P.D.",N,N,23
48026,"Wetaskiwin","Wetaskiwin"," 17","Sunnybrook",N,N,"",0,365,"Lampman","","Tom","Green Party","Parti Vert",N,N,17
48026,"Wetaskiwin","Wetaskiwin"," 18","Telfordville",N,N,"",0,258,"Calkins","","Blaine","Conservative","Conservateur",N,Y,158
48026,"Wetaskiwin","Wetaskiwin"," 18","Telfordville",N,N,"",0,258,"Crossley","","Peter","Liberal","Libéral",N,N,6
48026,"Wetaskiwin","Wetaskiwin"," 18","Telfordville",N,N,"",0,258,"Graves","","Jim","N.D.P.","N.P.D.",N,N,11
48026,"Wetaskiwin","Wetaskiwin"," 18","Telfordville",N,N,"",0,258,"Lampman","","Tom","Green Party","Parti Vert",N,N,12
48026,"Wetaskiwin","Wetaskiwin"," 19","Buford",N,N,"",0,374,"Calkins","","Blaine","Conservative","Conservateur",N,Y,189
48026,"Wetaskiwin","Wetaskiwin"," 19","Buford",N,N,"",0,374,"Crossley","","Peter","Liberal","Libéral",N,N,3
48026,"Wetaskiwin","Wetaskiwin"," 19","Buford",N,N,"",0,374,"Graves","","Jim","N.D.P.","N.P.D.",N,N,16
48026,"Wetaskiwin","Wetaskiwin"," 19","Buford",N,N,"",0,374,"Lampman","","Tom","Green Party","Parti Vert",N,N,15
48026,"Wetaskiwin","Wetaskiwin"," 20","Thorsby",N,N,"",0,211,"Calkins","","Blaine","Conservative","Conservateur",N,Y,133
48026,"Wetaskiwin","Wetaskiwin"," 20","Thorsby",N,N,"",0,211,"Crossley","","Peter","Liberal","Libéral",N,N,4
48026,"Wetaskiwin","Wetaskiwin"," 20","Thorsby",N,N,"",0,211,"Graves","","Jim","N.D.P.","N.P.D.",N,N,17
48026,"Wetaskiwin","Wetaskiwin"," 20","Thorsby",N,N,"",0,211,"Lampman","","Tom","Green Party","Parti Vert",N,N,7
48026,"Wetaskiwin","Wetaskiwin"," 21","Thorsby",N,N,"",1,759,"Calkins","","Blaine","Conservative","Conservateur",N,Y,267
48026,"Wetaskiwin","Wetaskiwin"," 21","Thorsby",N,N,"",1,759,"Crossley","","Peter","Liberal","Libéral",N,N,32
48026,"Wetaskiwin","Wetaskiwin"," 21","Thorsby",N,N,"",1,759,"Graves","","Jim","N.D.P.","N.P.D.",N,N,42
48026,"Wetaskiwin","Wetaskiwin"," 21","Thorsby",N,N,"",1,759,"Lampman","","Tom","Green Party","Parti Vert",N,N,24
48026,"Wetaskiwin","Wetaskiwin"," 22","Thorsby",N,N,"",0,306,"Calkins","","Blaine","Conservative","Conservateur",N,Y,139
48026,"Wetaskiwin","Wetaskiwin"," 22","Thorsby",N,N,"",0,306,"Crossley","","Peter","Liberal","Libéral",N,N,17
48026,"Wetaskiwin","Wetaskiwin"," 22","Thorsby",N,N,"",0,306,"Graves","","Jim","N.D.P.","N.P.D.",N,N,27
48026,"Wetaskiwin","Wetaskiwin"," 22","Thorsby",N,N,"",0,306,"Lampman","","Tom","Green Party","Parti Vert",N,N,16
48026,"Wetaskiwin","Wetaskiwin"," 23","Glen Park",N,N,"",0,455,"Calkins","","Blaine","Conservative","Conservateur",N,Y,235
48026,"Wetaskiwin","Wetaskiwin"," 23","Glen Park",N,N,"",0,455,"Crossley","","Peter","Liberal","Libéral",N,N,14
48026,"Wetaskiwin","Wetaskiwin"," 23","Glen Park",N,N,"",0,455,"Graves","","Jim","N.D.P.","N.P.D.",N,N,34
