Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35086,"Simcoe North","Simcoe-Nord"," 1","Christian Island 30",N,N,"",0,327,"Agnew","","Sandy","Green Party","Parti Vert",N,N,1
35086,"Simcoe North","Simcoe-Nord"," 1","Christian Island 30",N,N,"",0,327,"Graham","","Karen","Liberal","Libéral",N,N,204
35086,"Simcoe North","Simcoe-Nord"," 1","Christian Island 30",N,N,"",0,327,"Hill","","Jen","N.D.P.","N.P.D.",N,N,11
35086,"Simcoe North","Simcoe-Nord"," 1","Christian Island 30",N,N,"",0,327,"Kooger","","Adrian Peter","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
35086,"Simcoe North","Simcoe-Nord"," 1","Christian Island 30",N,N,"",0,327,"Stanton","","Bruce","Conservative","Conservateur",N,Y,5
35086,"Simcoe North","Simcoe-Nord"," 2","Tiny",N,N,"",0,486,"Agnew","","Sandy","Green Party","Parti Vert",N,N,23
35086,"Simcoe North","Simcoe-Nord"," 2","Tiny",N,N,"",0,486,"Graham","","Karen","Liberal","Libéral",N,N,140
35086,"Simcoe North","Simcoe-Nord"," 2","Tiny",N,N,"",0,486,"Hill","","Jen","N.D.P.","N.P.D.",N,N,47
35086,"Simcoe North","Simcoe-Nord"," 2","Tiny",N,N,"",0,486,"Kooger","","Adrian Peter","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
35086,"Simcoe North","Simcoe-Nord"," 2","Tiny",N,N,"",0,486,"Stanton","","Bruce","Conservative","Conservateur",N,Y,63
