Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 1","Port Renfrew",N,N,"",0,174,"Christie","","Douglas","WBP","WBP",N,N,0
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 1","Port Renfrew",N,N,"",0,174,"DeSouza","","Troy","Conservative","Conservateur",N,N,20
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 1","Port Renfrew",N,N,"",0,174,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,47
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 1","Port Renfrew",N,N,"",0,174,"Martin","","Keith","Liberal","Libéral",Y,Y,31
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 1","Port Renfrew",N,N,"",0,174,"Piney","","David","Canadian Action","Action canadienne",N,N,0
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 1","Port Renfrew",N,N,"",0,174,"Robinson","","Mike","Green Party","Parti Vert",N,N,12
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 2","Shirley",N,N,"",0,284,"Christie","","Douglas","WBP","WBP",N,N,1
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 2","Shirley",N,N,"",0,284,"DeSouza","","Troy","Conservative","Conservateur",N,N,43
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 2","Shirley",N,N,"",0,284,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,59
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 2","Shirley",N,N,"",0,284,"Martin","","Keith","Liberal","Libéral",Y,Y,60
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 2","Shirley",N,N,"",0,284,"Piney","","David","Canadian Action","Action canadienne",N,N,2
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 2","Shirley",N,N,"",0,284,"Robinson","","Mike","Green Party","Parti Vert",N,N,23
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 3","Sooke",N,N,"",0,334,"Christie","","Douglas","WBP","WBP",N,N,0
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 3","Sooke",N,N,"",0,334,"DeSouza","","Troy","Conservative","Conservateur",N,N,51
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 3","Sooke",N,N,"",0,334,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,67
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 3","Sooke",N,N,"",0,334,"Martin","","Keith","Liberal","Libéral",Y,Y,73
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 3","Sooke",N,N,"",0,334,"Piney","","David","Canadian Action","Action canadienne",N,N,0
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 3","Sooke",N,N,"",0,334,"Robinson","","Mike","Green Party","Parti Vert",N,N,10
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 4","Otter Point",N,N,"",1,613,"Christie","","Douglas","WBP","WBP",N,N,1
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 4","Otter Point",N,N,"",1,613,"DeSouza","","Troy","Conservative","Conservateur",N,N,81
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 4","Otter Point",N,N,"",1,613,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,116
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 4","Otter Point",N,N,"",1,613,"Martin","","Keith","Liberal","Libéral",Y,Y,122
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 4","Otter Point",N,N,"",1,613,"Piney","","David","Canadian Action","Action canadienne",N,N,1
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 4","Otter Point",N,N,"",1,613,"Robinson","","Mike","Green Party","Parti Vert",N,N,36
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 5","Otter Point",N,N,"",0,517,"Christie","","Douglas","WBP","WBP",N,N,1
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 5","Otter Point",N,N,"",0,517,"DeSouza","","Troy","Conservative","Conservateur",N,N,69
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 5","Otter Point",N,N,"",0,517,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,114
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 5","Otter Point",N,N,"",0,517,"Martin","","Keith","Liberal","Libéral",Y,Y,72
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 5","Otter Point",N,N,"",0,517,"Piney","","David","Canadian Action","Action canadienne",N,N,1
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 5","Otter Point",N,N,"",0,517,"Robinson","","Mike","Green Party","Parti Vert",N,N,27
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 6","East Sooke",N,N,"",0,527,"Christie","","Douglas","WBP","WBP",N,N,5
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 6","East Sooke",N,N,"",0,527,"DeSouza","","Troy","Conservative","Conservateur",N,N,97
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 6","East Sooke",N,N,"",0,527,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,112
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 6","East Sooke",N,N,"",0,527,"Martin","","Keith","Liberal","Libéral",Y,Y,121
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 6","East Sooke",N,N,"",0,527,"Piney","","David","Canadian Action","Action canadienne",N,N,0
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 6","East Sooke",N,N,"",0,527,"Robinson","","Mike","Green Party","Parti Vert",N,N,48
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 7","East Sooke",N,N,"",0,492,"Christie","","Douglas","WBP","WBP",N,N,1
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 7","East Sooke",N,N,"",0,492,"DeSouza","","Troy","Conservative","Conservateur",N,N,99
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 7","East Sooke",N,N,"",0,492,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,99
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 7","East Sooke",N,N,"",0,492,"Martin","","Keith","Liberal","Libéral",Y,Y,110
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 7","East Sooke",N,N,"",0,492,"Piney","","David","Canadian Action","Action canadienne",N,N,1
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 7","East Sooke",N,N,"",0,492,"Robinson","","Mike","Green Party","Parti Vert",N,N,20
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 8","Sooke",N,N,"",1,641,"Christie","","Douglas","WBP","WBP",N,N,4
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 8","Sooke",N,N,"",1,641,"DeSouza","","Troy","Conservative","Conservateur",N,N,99
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 8","Sooke",N,N,"",1,641,"Garrison","","Randall","N.D.P.","N.P.D.",N,N,119
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 8","Sooke",N,N,"",1,641,"Martin","","Keith","Liberal","Libéral",Y,Y,119
59008,"Esquimalt--Juan de Fuca","Esquimalt--Juan de Fuca"," 8","Sooke",N,N,"",1,641,"Piney","","David","Canadian Action","Action canadienne",N,N,2
