Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48023,"Red Deer","Red Deer"," 1","Red Deer County No. 23",N,N,"",1,254,"Bickford","","Kelly","N.D.P.","N.P.D.",N,N,10
48023,"Red Deer","Red Deer"," 1","Red Deer County No. 23",N,N,"",1,254,"Kurata","","Luke","Liberal","Libéral",N,N,1
48023,"Red Deer","Red Deer"," 1","Red Deer County No. 23",N,N,"",1,254,"Mills","","Bob","Conservative","Conservateur",Y,Y,109
48023,"Red Deer","Red Deer"," 1","Red Deer County No. 23",N,N,"",1,254,"Waldo","","Tanner Wade","Green Party","Parti Vert",N,N,1
48023,"Red Deer","Red Deer"," 2A","Benalto",N,N,"",1,426,"Bickford","","Kelly","N.D.P.","N.P.D.",N,N,24
48023,"Red Deer","Red Deer"," 2A","Benalto",N,N,"",1,426,"Kurata","","Luke","Liberal","Libéral",N,N,16
48023,"Red Deer","Red Deer"," 2A","Benalto",N,N,"",1,426,"Mills","","Bob","Conservative","Conservateur",Y,Y,205
48023,"Red Deer","Red Deer"," 2A","Benalto",N,N,"",1,426,"Waldo","","Tanner Wade","Green Party","Parti Vert",N,N,12
48023,"Red Deer","Red Deer"," 2B","Benalto",N,N,"",0,342,"Bickford","","Kelly","N.D.P.","N.P.D.",N,N,10
48023,"Red Deer","Red Deer"," 2B","Benalto",N,N,"",0,342,"Kurata","","Luke","Liberal","Libéral",N,N,11
48023,"Red Deer","Red Deer"," 2B","Benalto",N,N,"",0,342,"Mills","","Bob","Conservative","Conservateur",Y,Y,157
48023,"Red Deer","Red Deer"," 2B","Benalto",N,N,"",0,342,"Waldo","","Tanner Wade","Green Party","Parti Vert",N,N,15
48023,"Red Deer","Red Deer"," 3","Kevisville",N,N,"",0,420,"Bickford","","Kelly","N.D.P.","N.P.D.",N,N,12
48023,"Red Deer","Red Deer"," 3","Kevisville",N,N,"",0,420,"Kurata","","Luke","Liberal","Libéral",N,N,6
48023,"Red Deer","Red Deer"," 3","Kevisville",N,N,"",0,420,"Mills","","Bob","Conservative","Conservateur",Y,Y,239
48023,"Red Deer","Red Deer"," 3","Kevisville",N,N,"",0,420,"Waldo","","Tanner Wade","Green Party","Parti Vert",N,N,15
48023,"Red Deer","Red Deer"," 4","Markerville",N,N,"",0,613,"Bickford","","Kelly","N.D.P.","N.P.D.",N,N,21
48023,"Red Deer","Red Deer"," 4","Markerville",N,N,"",0,613,"Kurata","","Luke","Liberal","Libéral",N,N,16
48023,"Red Deer","Red Deer"," 4","Markerville",N,N,"",0,613,"Mills","","Bob","Conservative","Conservateur",Y,Y,338
