Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59030,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,613,"Bartholomew","","Bryce","Canadian Action","Action canadienne",N,N,2
59030,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,613,"Davies","","Libby","N.D.P.","N.P.D.",Y,Y,104
59030,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,613,"Ellis","","Christine","Green Party","Parti Vert",N,N,10
59030,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,613,"Haggard","","David Carl","Liberal","Libéral",N,N,49
59030,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,613,"Pagtakhan","","Elizabeth M.","Conservative","Conservateur",N,N,36
59030,"Vancouver East","Vancouver-Est"," 2A","Vancouver",N,N,"",0,487,"Bartholomew","","Bryce","Canadian Action","Action canadienne",N,N,0
59030,"Vancouver East","Vancouver-Est"," 2A","Vancouver",N,N,"",0,487,"Davies","","Libby","N.D.P.","N.P.D.",Y,Y,138
59030,"Vancouver East","Vancouver-Est"," 2A","Vancouver",N,N,"",0,487,"Ellis","","Christine","Green Party","Parti Vert",N,N,33
59030,"Vancouver East","Vancouver-Est"," 2A","Vancouver",N,N,"",0,487,"Haggard","","David Carl","Liberal","Libéral",N,N,54
59030,"Vancouver East","Vancouver-Est"," 2A","Vancouver",N,N,"",0,487,"Pagtakhan","","Elizabeth M.","Conservative","Conservateur",N,N,29
59030,"Vancouver East","Vancouver-Est"," 2B","Mobile poll/Bureau itinérant",N,N,"30B",0,66,"Bartholomew","","Bryce","Canadian Action","Action canadienne",N,N,0
59030,"Vancouver East","Vancouver-Est"," 2B","Mobile poll/Bureau itinérant",N,N,"30B",0,66,"Davies","","Libby","N.D.P.","N.P.D.",Y,Y,0
59030,"Vancouver East","Vancouver-Est"," 2B","Mobile poll/Bureau itinérant",N,N,"30B",0,66,"Ellis","","Christine","Green Party","Parti Vert",N,N,0
59030,"Vancouver East","Vancouver-Est"," 2B","Mobile poll/Bureau itinérant",N,N,"30B",0,66,"Haggard","","David Carl","Liberal","Libéral",N,N,0
59030,"Vancouver East","Vancouver-Est"," 2B","Mobile poll/Bureau itinérant",N,N,"30B",0,66,"Pagtakhan","","Elizabeth M.","Conservative","Conservateur",N,N,0
59030,"Vancouver East","Vancouver-Est"," 3","Vancouver",N,N,"",0,566,"Bartholomew","","Bryce","Canadian Action","Action canadienne",N,N,1
59030,"Vancouver East","Vancouver-Est"," 3","Vancouver",N,N,"",0,566,"Davies","","Libby","N.D.P.","N.P.D.",Y,Y,99
59030,"Vancouver East","Vancouver-Est"," 3","Vancouver",N,N,"",0,566,"Ellis","","Christine","Green Party","Parti Vert",N,N,16
59030,"Vancouver East","Vancouver-Est"," 3","Vancouver",N,N,"",0,566,"Haggard","","David Carl","Liberal","Libéral",N,N,81
59030,"Vancouver East","Vancouver-Est"," 3","Vancouver",N,N,"",0,566,"Pagtakhan","","Elizabeth M.","Conservative","Conservateur",N,N,27
59030,"Vancouver East","Vancouver-Est"," 4","Vancouver",N,N,"",1,414,"Bartholomew","","Bryce","Canadian Action","Action canadienne",N,N,1
59030,"Vancouver East","Vancouver-Est"," 4","Vancouver",N,N,"",1,414,"Davies","","Libby","N.D.P.","N.P.D.",Y,Y,129
59030,"Vancouver East","Vancouver-Est"," 4","Vancouver",N,N,"",1,414,"Ellis","","Christine","Green Party","Parti Vert",N,N,10
59030,"Vancouver East","Vancouver-Est"," 4","Vancouver",N,N,"",1,414,"Haggard","","David Carl","Liberal","Libéral",N,N,28
